[2018-09-12 18:36:10.032] Starting up round ID 2259.
[2018-09-12 18:36:10.032] -------------------------
[2018-09-12 18:49:31.094] ATTACK: bilary/(Mim-Hul) has thrown the first-aid kit (Unexplored Location (139, 42, 5))
[2018-09-12 18:49:32.454] ATTACK: bilary/(Mim-Hul) has thrown the spear (Unexplored Location (140, 42, 5))
[2018-09-12 18:49:39.500] ATTACK: bilary/(Mim-Hul) has thrown the goliath meat (Unexplored Location (140, 44, 5))
[2018-09-12 18:50:24.226] ATTACK: Wicker0/(Nebulous) has electrified [vault door] (AI Chamber (150, 32, 2))
[2018-09-12 18:51:27.227] ATTACK: bilary/(Mim-Hul) has thrown the cactus fruit (Lavaland Wastes (153, 46, 5))
[2018-09-12 18:51:48.766] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 182)  (Lavaland Wastes (164, 35, 5))
[2018-09-12 18:51:49.641] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 164)  (Lavaland Wastes (164, 35, 5))
[2018-09-12 18:51:50.541] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 146)  (Lavaland Wastes (164, 35, 5))
[2018-09-12 18:51:50.656] ATTACK: *no key*/(watcher) has attacked bilary/(Mim-Hul) (NEWHP: 95.5)  (Lavaland Wastes (165, 34, 5))
[2018-09-12 18:51:51.383] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 128)  (Lavaland Wastes (164, 35, 5))
[2018-09-12 18:51:52.208] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 110)  (Lavaland Wastes (164, 35, 5))
[2018-09-12 18:51:52.653] ATTACK: *no key*/(watcher) has attacked bilary/(Mim-Hul) (NEWHP: 84.2)  (Lavaland Wastes (165, 34, 5))
[2018-09-12 18:51:53.155] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 92)  (Lavaland Wastes (164, 35, 5))
[2018-09-12 18:51:53.995] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 74)  (Lavaland Wastes (164, 35, 5))
[2018-09-12 18:51:54.653] ATTACK: *no key*/(watcher) has attacked bilary/(Mim-Hul) (NEWHP: 73)  (Lavaland Wastes (165, 34, 5))
[2018-09-12 18:51:54.904] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 56)  (Lavaland Wastes (164, 35, 5))
[2018-09-12 18:51:55.756] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 38)  (Lavaland Wastes (164, 35, 5))
[2018-09-12 18:51:56.630] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 20)  (Lavaland Wastes (164, 35, 5))
[2018-09-12 18:51:56.664] ATTACK: *no key*/(watcher) has attacked bilary/(Mim-Hul) (NEWHP: 61.7)  (Lavaland Wastes (165, 34, 5))
[2018-09-12 18:51:57.535] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 2)  (Lavaland Wastes (164, 35, 5))
[2018-09-12 18:51:58.397] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (164, 35, 5))
[2018-09-12 18:52:00.274] ATTACK: bilary/(Mim-Hul) has grabbed *no key*/(watcher) passive grab (NEWHP: 0)  (Lavaland Wastes (164, 35, 5))
[2018-09-12 18:52:14.430] ATTACK: bilary/(Mim-Hul) has thrown the mushroom shavings (Lavaland Wastes (158, 41, 5))
[2018-09-12 18:52:31.175] ATTACK: bilary/(Mim-Hul) has thrown the cactus fruit (Unexplored Location (139, 45, 5))
[2018-09-12 18:52:59.160] ATTACK: bilary/(Mim-Hul) has attacked [cacti] with [spear (Wielded)] (Lavaland Wastes (154, 46, 5))
[2018-09-12 18:53:00.648] ATTACK: bilary/(Mim-Hul) has attacked [cacti] with [spear (Wielded)] (Lavaland Wastes (155, 46, 5))
[2018-09-12 18:53:01.676] ATTACK: bilary/(Mim-Hul) has attacked [cacti] with [spear (Wielded)] (Lavaland Wastes (155, 46, 5))
[2018-09-12 18:53:02.617] ATTACK: bilary/(Mim-Hul) has attacked [cacti] with [spear (Wielded)] (Lavaland Wastes (155, 46, 5))
[2018-09-12 18:53:03.637] ATTACK: bilary/(Mim-Hul) has attacked [cacti] with [spear (Wielded)] (Lavaland Wastes (155, 46, 5))
[2018-09-12 18:53:04.420] ATTACK: bilary/(Mim-Hul) has attacked [cacti] with [spear (Wielded)] (Lavaland Wastes (155, 46, 5))
[2018-09-12 18:53:13.465] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(legion) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 57)  (Lavaland Wastes (177, 23, 5))
[2018-09-12 18:53:14.385] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(legion) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 39)  (Lavaland Wastes (177, 23, 5))
[2018-09-12 18:53:15.467] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(legion) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (177, 23, 5))
[2018-09-12 18:53:16.280] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(legion) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (178, 22, 5))
[2018-09-12 18:53:17.212] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(legion) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 21)  (Lavaland Wastes (179, 22, 5))
[2018-09-12 18:53:18.335] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(legion) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (179, 22, 5))
[2018-09-12 18:53:19.177] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(legion) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 3)  (Lavaland Wastes (180, 22, 5))
[2018-09-12 18:53:20.213] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(legion) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (181, 23, 5))
[2018-09-12 18:53:22.150] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(legion) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (182, 25, 5))
[2018-09-12 18:53:23.218] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(legion) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (182, 24, 5))
[2018-09-12 18:53:23.219] ATTACK: [turret] has fired at Juicy_Chicken/(Connor Shade) with [electrode] from AI Upload Chamber (NEWHP: 96.2)  (AI Upload Chamber (117, 129, 2))
[2018-09-12 18:53:23.220] ATTACK: [turret] has fired at Juicy_Chicken/(Connor Shade) with [electrode] from AI Upload Chamber (NEWHP: 96.2)  (AI Upload Chamber (116, 132, 2))
[2018-09-12 18:53:23.222] ATTACK: [turret] has fired at Juicy_Chicken/(Connor Shade) with [electrode] from AI Upload Chamber (NEWHP: 96.2)  (AI Upload Chamber (110, 132, 2))
[2018-09-12 18:53:23.222] ATTACK: [turret] has fired at Juicy_Chicken/(Connor Shade) with [electrode] from AI Upload Chamber (NEWHP: 96.2)  (AI Upload Chamber (109, 129, 2))
[2018-09-12 18:53:23.388] ATTACK: Juicy_Chicken/(Connor Shade) has been shot by the turret with the electrode (AI Upload Chamber (113, 129, 2))
[2018-09-12 18:53:23.392] ATTACK: Juicy_Chicken/(Connor Shade) has been shot by the turret with the electrode (AI Upload Chamber (113, 129, 2))
[2018-09-12 18:53:23.394] ATTACK: Juicy_Chicken/(Connor Shade) has been shot by the turret with the electrode (AI Upload Chamber (113, 129, 2))
[2018-09-12 18:53:23.396] ATTACK: Juicy_Chicken/(Connor Shade) has been shot by the turret with the electrode (AI Upload Chamber (113, 129, 2))
[2018-09-12 18:53:24.709] ATTACK: [turret] has fired at Penginh/(Hossein Khosrow Ali Vaziri) with [electrode] from AI Upload Chamber (NEWHP: 100)  (AI Upload Chamber (117, 129, 2))
[2018-09-12 18:53:24.714] ATTACK: [turret] has fired at Penginh/(Hossein Khosrow Ali Vaziri) with [electrode] from AI Upload Chamber (NEWHP: 100)  (AI Upload Chamber (109, 129, 2))
[2018-09-12 18:53:26.710] ATTACK: [turret] has fired at Penginh/(Hossein Khosrow Ali Vaziri) with [electrode] from AI Upload Chamber (NEWHP: 100)  (AI Upload Chamber (117, 129, 2))
[2018-09-12 18:53:26.715] ATTACK: [turret] has fired at Penginh/(Hossein Khosrow Ali Vaziri) with [electrode] from AI Upload Chamber (NEWHP: 100)  (AI Upload Chamber (109, 129, 2))
[2018-09-12 18:53:27.186] ATTACK: [turret] has fired at Penginh/(Hossein Khosrow Ali Vaziri) with [electrode] from AI Upload Chamber (NEWHP: 100)  (AI Upload Chamber (116, 132, 2))
[2018-09-12 18:53:27.187] ATTACK: [turret] has fired at Penginh/(Hossein Khosrow Ali Vaziri) with [electrode] from AI Upload Chamber (NEWHP: 100)  (AI Upload Chamber (110, 132, 2))
[2018-09-12 18:53:28.252] ATTACK: bilary/(Mim-Hul) has grabbed *no key*/(Eddie Riggle) passive grab (NEWHP: -540.4)  (Lavaland Wastes (182, 24, 5))
[2018-09-12 18:53:28.719] ATTACK: [turret] has fired at Penginh/(Hossein Khosrow Ali Vaziri) with [electrode] from AI Upload Chamber (NEWHP: 100)  (AI Upload Chamber (117, 129, 2))
[2018-09-12 18:53:31.671] ATTACK: Penginh/(Hossein Khosrow Ali Vaziri) has fired at Juicy_Chicken/(Connor Shade) with [disabler beam] from AI Upload Chamber (NEWHP: 96.2)  (AI Upload Chamber (113, 133, 2))
[2018-09-12 18:53:31.852] ATTACK: Penginh/(Hossein Khosrow Ali Vaziri) has shot Juicy_Chicken/(Connor Shade) with [disabler beam] (NEWHP: 96.2)  (AI Upload Chamber (113, 133, 2))
[2018-09-12 18:53:37.090] ATTACK: Penginh/(Hossein Khosrow Ali Vaziri) has grabbed Juicy_Chicken/(Connor Shade) passive grab (NEWHP: 96.2)  (AI Upload Chamber (112, 129, 2))
[2018-09-12 18:53:37.945] ATTACK: Penginh/(Hossein Khosrow Ali Vaziri) has handcuffed Juicy_Chicken/(Connor Shade) (NEWHP: 96.2)  (AI Upload Chamber (112, 129, 2))
[2018-09-12 18:53:38.871] ATTACK: bilary/(Mim-Hul) has thrown the regenerative core (Lavaland Wastes (138, 39, 5))
[2018-09-12 18:53:44.744] ATTACK: bilary/(Mim-Hul) has stripped the black gloves off *no key*/(Eddie Riggle) (NEWHP: -540.4)  (Lavaland Wastes (138, 39, 5))
[2018-09-12 18:53:45.545] ATTACK: bilary/(Mim-Hul) has stripped the explorer gas mask off *no key*/(Eddie Riggle) (NEWHP: -540.4)  (Lavaland Wastes (138, 39, 5))
[2018-09-12 18:53:46.294] ATTACK: bilary/(Mim-Hul) has stripped the mining boots off *no key*/(Eddie Riggle) (NEWHP: -540.4)  (Lavaland Wastes (138, 39, 5))
[2018-09-12 18:53:47.244] ATTACK: bilary/(Mim-Hul) has stripped the shaft miner's jumpsuit off *no key*/(Eddie Riggle) (NEWHP: -540.4)  (Lavaland Wastes (138, 39, 5))
[2018-09-12 18:54:00.636] ATTACK: bilary/(Mim-Hul) has thrown the marker beacon (Lavaland Wastes (138, 39, 5))
[2018-09-12 18:54:04.137] ATTACK: bilary/(Mim-Hul) has thrown the black gloves (Lavaland Wastes (138, 39, 5))
[2018-09-12 18:54:12.346] ATTACK: bilary/(Mim-Hul) has thrown the pickaxe (Unexplored Location (139, 43, 5))
[2018-09-12 18:54:20.491] ATTACK: Penginh/(Hossein Khosrow Ali Vaziri) has stripped the chemist labcoat off Juicy_Chicken/(Connor Shade) (NEWHP: 96.2)  (Brig (113, 167, 2))
[2018-09-12 18:54:20.941] ATTACK: Penginh/(Hossein Khosrow Ali Vaziri) has stripped the white shoes off Juicy_Chicken/(Connor Shade) (NEWHP: 96.2)  (Brig (113, 167, 2))
[2018-09-12 18:54:21.091] ATTACK: Penginh/(Hossein Khosrow Ali Vaziri) has stripped the science goggles off Juicy_Chicken/(Connor Shade) (NEWHP: 96.2)  (Brig (113, 167, 2))
[2018-09-12 18:54:21.341] ATTACK: Penginh/(Hossein Khosrow Ali Vaziri) has stripped the chemist's jumpsuit off Juicy_Chicken/(Connor Shade) (NEWHP: 96.2)  (Brig (113, 167, 2))
[2018-09-12 18:54:22.241] ATTACK: Penginh/(Hossein Khosrow Ali Vaziri) has stripped the medical radio headset off Juicy_Chicken/(Connor Shade) (NEWHP: 96.2)  (Brig (113, 167, 2))
[2018-09-12 18:54:23.274] ATTACK: bilary/(Mim-Hul) has thrown the mining boots (Lavaland Wastes (138, 39, 5))
[2018-09-12 18:54:23.691] ATTACK: Penginh/(Hossein Khosrow Ali Vaziri) has stripped the leather satchel off Juicy_Chicken/(Connor Shade) (NEWHP: 96.2)  (Brig (113, 167, 2))
[2018-09-12 18:54:28.192] ATTACK: bilary/(Mim-Hul) has thrown the shaft miner's jumpsuit (Lavaland Wastes (138, 39, 5))
[2018-09-12 18:54:41.902] ATTACK: bilary/(Mim-Hul) has thrown the industrial welding tool (Lavaland Wastes (132, 39, 5))
[2018-09-12 18:54:58.747] ATTACK: bilary/(Mim-Hul) has attacked [fruiting cacti] with [spear (Wielded)] (Lavaland Wastes (172, 27, 5))
[2018-09-12 18:54:59.697] ATTACK: bilary/(Mim-Hul) has attacked [fruiting cacti] with [spear (Wielded)] (Lavaland Wastes (172, 27, 5))
[2018-09-12 18:55:00.468] ATTACK: bilary/(Mim-Hul) has attacked [fruiting cacti] with [spear (Wielded)] (Lavaland Wastes (172, 27, 5))
[2018-09-12 18:55:01.326] ATTACK: bilary/(Mim-Hul) has attacked [fruiting cacti] with [spear (Wielded)] (Lavaland Wastes (172, 27, 5))
[2018-09-12 18:55:02.202] ATTACK: bilary/(Mim-Hul) has attacked [fruiting cacti] with [spear (Wielded)] (Lavaland Wastes (172, 27, 5))
[2018-09-12 18:55:03.122] ATTACK: bilary/(Mim-Hul) has attacked [fruiting cacti] with [spear (Wielded)] (Lavaland Wastes (172, 27, 5))
[2018-09-12 18:55:04.065] ATTACK: bilary/(Mim-Hul) has attacked [fruiting cacti] with [spear (Wielded)] (Lavaland Wastes (172, 27, 5))
[2018-09-12 18:55:04.933] ATTACK: bilary/(Mim-Hul) has attacked [fruiting cacti] with [spear (Wielded)] (Lavaland Wastes (172, 27, 5))
[2018-09-12 18:55:05.911] ATTACK: bilary/(Mim-Hul) has attacked [fruiting cacti] with [spear (Wielded)] (Lavaland Wastes (172, 27, 5))
[2018-09-12 18:55:16.822] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 182)  (Lavaland Wastes (195, 13, 5))
[2018-09-12 18:55:17.987] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 164)  (Lavaland Wastes (195, 13, 5))
[2018-09-12 18:55:18.000] ATTACK: *no key*/(watcher) has attacked bilary/(Mim-Hul) (NEWHP: 85)  (Lavaland Wastes (196, 13, 5))
[2018-09-12 18:55:18.959] ATTACK: bilary/(Mim-Hul) has attacked *no key*/(watcher) with spear (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 146)  (Lavaland Wastes (195, 13, 5))
