[2018-09-05 18:43:04.448] Starting up round ID 2185.
[2018-09-05 18:43:04.448] -------------------------
[2018-09-05 19:05:42.271] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:43.205] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:44.063] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:45.089] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:45.925] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:46.763] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:47.654] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:48.550] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:49.324] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:05:53.662] ATTACK: Wicker0/(Harlow Moriarty) has thrown the tablet computer (Chief Engineer's Office (96, 130, 2))
[2018-09-05 19:06:00.273] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:06:01.096] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:06:01.877] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:06:02.727] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [disposal unit] with [fire extinguisher] (Xenobiology Lab (125, 95, 2))
[2018-09-05 19:06:28.962] ATTACK: Goodie_boy/(Dan Ox) has thrown the portable seed extractor (Hydroponics (125, 151, 2))
[2018-09-05 19:06:54.541] ATTACK: Drunkenpeasant/(Franken Slime) has attacked [Core R&D Console] with [fire extinguisher] (Research and Development (147, 92, 2))
[2018-09-05 19:07:36.339] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the antimatter containment jar (Cargo Bay (168, 169, 2))
[2018-09-05 19:07:37.382] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the antimatter containment jar (Cargo Bay (168, 169, 2))
[2018-09-05 19:07:38.905] ATTACK: Wicker0/(Harlow Moriarty) has attacked [tesla coil] with [experimental welding tool] (Space (80, 118, 2))
[2018-09-05 19:07:54.604] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the toolbelt (Cargo Bay (175, 174, 2))
[2018-09-05 19:08:03.967] ATTACK: Jaedo/(Amiyah McDonald) has climbed onto [reinforced table] (Kitchen (144, 157, 2))
[2018-09-05 19:08:38.980] ATTACK: Wicker0/(Harlow Moriarty) has thrown the wrench (Engineering (90, 109, 2))
[2018-09-05 19:08:44.789] ATTACK: Jaedo/(Amiyah McDonald) has thrown the bucket (Hydroponics (125, 149, 2))
[2018-09-05 19:09:12.817] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the analyzer (Cargo Bay (177, 176, 2))
[2018-09-05 19:12:26.780] ATTACK: Wicker0/(Harlow Moriarty) has thrown the wrench (Engineering (87, 109, 2))
[2018-09-05 19:12:45.925] ATTACK: Drunkenpeasant/(Franken Slime) has thrown the super capacitor (Research and Development (145, 94, 2))
[2018-09-05 19:12:48.147] ATTACK: Goodie_boy/(Dan Ox) has thrown the portable seed extractor (Hydroponics (125, 147, 2))
[2018-09-05 19:12:48.848] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(Pete) with sharpened kitchen knife[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 26)  (Kitchen (139, 155, 2))
[2018-09-05 19:12:49.414] ATTACK: *no key*/(Pete) has attacked Jaedo/(Amiyah McDonald) (NEWHP: 100)  (Kitchen (138, 156, 2))
[2018-09-05 19:12:49.683] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(Pete) with sharpened kitchen knife[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 12)  (Kitchen (139, 155, 2))
[2018-09-05 19:12:50.506] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(Pete) with sharpened kitchen knife[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Kitchen (139, 155, 2))
[2018-09-05 19:12:51.517] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(Pete) with sharpened kitchen knife[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Kitchen (139, 155, 2))
[2018-09-05 19:13:10.508] ATTACK: Goodie_boy/(Dan Ox) has thrown the portable seed extractor (Kitchen (139, 153, 2))
[2018-09-05 19:13:39.039] ATTACK: Jaedo/(Amiyah McDonald) has grabbed *no key*/(monkey (527)) passive grab (NEWHP: 100)  (Genetics Lab (166, 81, 2))
[2018-09-05 19:13:41.660] ATTACK: Jaedo/(Amiyah McDonald) has grabbed *no key*/(monkey (323)) passive grab (NEWHP: 100)  (Genetics Lab (166, 81, 2))
[2018-09-05 19:14:10.081] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) with sharpened kitchen knife[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: 86)  (Kitchen (140, 156, 2))
[2018-09-05 19:14:12.521] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) (NEWHP: 80)  (Kitchen (140, 156, 2))
[2018-09-05 19:14:13.361] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) (NEWHP: 69.5)  (Kitchen (140, 156, 2))
[2018-09-05 19:14:16.525] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) (NEWHP: 61.5)  (Kitchen (140, 156, 2))
[2018-09-05 19:14:20.699] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) with sharpened kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 47.5)  (Kitchen (140, 155, 2))
[2018-09-05 19:14:22.221] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) with sharpened kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 33.5)  (Kitchen (140, 155, 2))
[2018-09-05 19:14:23.052] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) with sharpened kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 19.5)  (Kitchen (140, 155, 2))
[2018-09-05 19:14:24.137] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) with sharpened kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 5.5)  (Kitchen (140, 155, 2))
[2018-09-05 19:14:25.081] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) with sharpened kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -8.5)  (Kitchen (140, 155, 2))
[2018-09-05 19:14:26.042] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) with sharpened kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -22.5)  (Kitchen (140, 155, 2))
[2018-09-05 19:14:27.044] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) with sharpened kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -36.5)  (Kitchen (140, 155, 2))
[2018-09-05 19:14:27.972] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) with sharpened kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -50.5)  (Kitchen (140, 155, 2))
[2018-09-05 19:14:28.863] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) with sharpened kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -64.5)  (Kitchen (140, 155, 2))
[2018-09-05 19:14:29.999] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) with sharpened kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -79.5)  (Kitchen (140, 155, 2))
[2018-09-05 19:14:30.984] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) with sharpened kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -93.5)  (Kitchen (140, 155, 2))
[2018-09-05 19:14:31.843] ATTACK: Jaedo/(Amiyah McDonald) has attacked *no key*/(monkey (323)) with sharpened kitchen knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -105)  (Kitchen (140, 155, 2))
[2018-09-05 19:15:12.312] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 164, 2))
[2018-09-05 19:15:14.134] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 165, 2))
[2018-09-05 19:15:15.330] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 165, 2))
[2018-09-05 19:15:17.508] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (167, 166, 2))
[2018-09-05 19:16:16.264] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (168, 168, 2))
[2018-09-05 19:16:17.291] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (168, 168, 2))
[2018-09-05 19:16:27.593] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 169, 2))
[2018-09-05 19:16:28.560] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 169, 2))
[2018-09-05 19:16:29.532] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 169, 2))
[2018-09-05 19:16:30.572] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 169, 2))
[2018-09-05 19:16:32.041] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 169, 2))
[2018-09-05 19:16:33.039] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 169, 2))
[2018-09-05 19:16:34.145] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 169, 2))
[2018-09-05 19:16:35.262] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 169, 2))
[2018-09-05 19:16:36.714] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 169, 2))
[2018-09-05 19:16:37.941] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 169, 2))
[2018-09-05 19:16:39.410] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 169, 2))
[2018-09-05 19:16:41.663] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 169, 2))
[2018-09-05 19:16:42.966] ATTACK: Juicy_Chicken/(Mr Fluffles) has thrown the packaged antimatter reactor section (Cargo Bay (169, 169, 2))
