[2018-09-03 18:26:44.286] Starting up round ID 2160.
[2018-09-03 18:26:44.286] -------------------------
[2018-09-03 18:41:59.537] ATTACK: Davidththird/(Tyron Jamal) has thrown the box of crayons (Central Primary Hallway (110, 141, 2))
[2018-09-03 18:42:11.104] ATTACK: Greyjir/(Cole Vader) has punched APersonsName222/(Pavlo Asterton) (NEWHP: 82.6)  (Auxiliary Tool Storage (92, 136, 2))
[2018-09-03 18:42:40.822] ATTACK: Davidththird/(Tyron Jamal) has thrown the welding tool (Arrival Shuttle Hallway (48, 153, 2))
[2018-09-03 18:42:45.910] ATTACK: Davidththird/(Tyron Jamal) has attacked [girder] with [screwdriver] (Arrival Shuttle Hallway (48, 153, 2))
[2018-09-03 18:42:51.104] ATTACK: David Blanc/(Gage Young) has thrown the multitool (Cargo Office (93, 118, 2))
[2018-09-03 18:42:58.823] ATTACK: David Blanc/(Gage Young) has thrown the multitool (Cargo Office (93, 118, 2))
[2018-09-03 18:43:07.745] ATTACK: Davidththird/(Tyron Jamal) has thrown the wrench (Arrival Shuttle Hallway (49, 153, 2))
[2018-09-03 18:43:40.156] ATTACK: Greyjir/(Cole Vader) has disarmed Kyutness/(Catocala) (NEWHP: 100)  (Cargo Office (93, 119, 2))
[2018-09-03 18:43:41.104] ATTACK: Greyjir/(Cole Vader) has disarmed David Blanc/(Gage Young) (NEWHP: 100)  (Cargo Office (93, 119, 2))
[2018-09-03 18:43:41.225] ATTACK: APersonsName222/(Pavlo Asterton) has shaked David Blanc/(Gage Young) (NEWHP: 100)  (Cargo Office (91, 117, 2))
[2018-09-03 18:44:31.097] ATTACK: Davidththird/(Tyron Jamal) has attacked [disposal pipe segment] with [screwdriver] (Central Primary Hallway (112, 141, 2))
[2018-09-03 18:44:32.321] ATTACK: Davidththird/(Tyron Jamal) has attacked [disposal pipe segment] with [screwdriver] (Central Primary Hallway (112, 141, 2))
[2018-09-03 18:44:42.556] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 91)  (Central Primary Hallway (112, 143, 2))
[2018-09-03 18:44:54.937] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 91)  (Central Primary Hallway (112, 143, 2))
[2018-09-03 18:45:01.653] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 91)  (Central Primary Hallway (114, 143, 2))
[2018-09-03 18:45:05.797] ATTACK: David Blanc/(Gage Young) has thrown the pocket fire extinguisher (Cargo Office (85, 120, 2))
[2018-09-03 18:45:05.984] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:06.869] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:07.770] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:08.696] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:09.578] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:10.472] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:11.360] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:12.194] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:12.971] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:13.882] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:14.789] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:15.579] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:16.383] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:17.011] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 91)  (Central Primary Hallway (114, 143, 2))
[2018-09-03 18:45:17.223] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:18.120] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:18.920] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:19.729] ATTACK: Greyjir/(Cole Vader) has attacked [reinforced window] with [hatchet] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:22.722] ATTACK: Greyjir/(Cole Vader) has thrown the hatchet (Central Primary Hallway (108, 142, 2))
[2018-09-03 18:45:36.696] ATTACK: Greyjir/(Cole Vader) has attacked [grille] with [shard] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:37.634] ATTACK: Greyjir/(Cole Vader) has attacked [grille] with [shard] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:38.474] ATTACK: Greyjir/(Cole Vader) has attacked [grille] with [shard] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:39.422] ATTACK: Greyjir/(Cole Vader) has attacked [grille] with [shard] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:40.373] ATTACK: Greyjir/(Cole Vader) has attacked [grille] with [shard] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:41.234] ATTACK: Greyjir/(Cole Vader) has attacked [grille] with [shard] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:42.059] ATTACK: Greyjir/(Cole Vader) has attacked [grille] with [shard] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:42.824] ATTACK: Greyjir/(Cole Vader) has attacked [grille] with [shard] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:43.731] ATTACK: Greyjir/(Cole Vader) has attacked [grille] with [shard] (Central Primary Hallway (108, 140, 2))
[2018-09-03 18:45:51.916] ATTACK: Greyjir/(Cole Vader) has climbed onto [reinforced table] (Bridge (108, 138, 2))
[2018-09-03 18:45:53.356] ATTACK: [power cable] has electrocuted Davidththird/(Tyron Jamal) (NEWHP: 86)  (Central Primary Hallway (114, 143, 2))
[2018-09-03 18:45:58.481] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (111, 134, 2))
[2018-09-03 18:45:59.358] ATTACK: Greyjir/(Cole Vader) has attacked [fire axe cabinet] with [hatchet] (Bridge (111, 134, 2))
