[2018-09-08 11:31:18.113] Starting up round ID 2209.
[2018-09-08 11:31:18.113] -------------------------
[2018-09-08 12:47:46.214] ATTACK: SunoPerson/(Suno Fang) has shaked *no key*/(Jaden Hawker) (NEWHP: 100)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:49:15.756] ATTACK: SunoPerson/(Suno Fang) has operated on *no key*/(Jaden Hawker) (OPERATION TYPE: implant removal) (TARGET AREA: chest) (NEWHP: 100)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:49:20.782] ATTACK: SunoPerson/(Suno Fang) has attacked *no key*/(Jaden Hawker) with cautery[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:49:40.301] ATTACK: SunoPerson/(Suno Fang) has operated on *no key*/(Jaden Hawker) (OPERATION TYPE: organ manipulation) (TARGET AREA: chest) (NEWHP: 100)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:51:07.540] ATTACK: SunoPerson/(Suno Fang) has surgically removed liver from *no key*/(Jaden Hawker) INTENT: HELP (NEWHP: 70)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:51:19.891] ATTACK: SunoPerson/(Suno Fang) has surgically removed stomach from *no key*/(Jaden Hawker) INTENT: HELP (NEWHP: 22)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:51:38.640] ATTACK: SunoPerson/(Suno Fang) has surgically removed heart from *no key*/(Jaden Hawker) INTENT: HELP (NEWHP: -60)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:51:49.541] ATTACK: SunoPerson/(Suno Fang) has surgically removed lungs from *no key*/(Jaden Hawker) INTENT: HELP (NEWHP: -106)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:52:20.718] ATTACK: Bilary/(Lara Black) has thrown the hazard vest (Engineering (122, 75, 2))
[2018-09-08 12:53:12.510] ATTACK: SunoPerson/(Suno Fang) has stripped the medical mask off *no key*/(Jaden Hawker) (NEWHP: -104)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:53:19.310] ATTACK: SunoPerson/(Suno Fang) has stripped the anesthetic tank off *no key*/(Jaden Hawker) (NEWHP: -104)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:53:40.750] ATTACK: SunoPerson/(Suno Fang) has operated on *no key*/(Jaden Hawker) (OPERATION TYPE: organ manipulation) (TARGET AREA: mouth) (NEWHP: -104)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:54:21.276] ATTACK: SunoPerson/(Suno Fang) has surgically removed tongue from *no key*/(Jaden Hawker) INTENT: HELP (NEWHP: -104)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:55:09.695] ATTACK: SunoPerson/(Suno Fang) has operated on *no key*/(Jaden Hawker) (OPERATION TYPE: organ manipulation) (TARGET AREA: eyes) (NEWHP: -104)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:56:02.629] ATTACK: SunoPerson/(Suno Fang) has surgically removed eyes from *no key*/(Jaden Hawker) INTENT: HELP (NEWHP: -104)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:56:27.386] ATTACK: SunoPerson/(Suno Fang) has operated on *no key*/(Jaden Hawker) (OPERATION TYPE: brain surgery) (TARGET AREA: head) (NEWHP: -104)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:56:39.227] ATTACK: SunoPerson/(Suno Fang) has operated on *no key*/(Jaden Hawker) (OPERATION TYPE: organ manipulation) (TARGET AREA: head) (NEWHP: -104)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:57:40.178] ATTACK: SunoPerson/(Suno Fang) has surgically removed ears from *no key*/(Jaden Hawker) INTENT: HELP (NEWHP: -134)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:57:50.579] ATTACK: SunoPerson/(Suno Fang) has surgically removed brain from *no key*/(Jaden Hawker) INTENT: HELP (NEWHP: -134)  (Medbay Treatment Center (134, 109, 2))
[2018-09-08 12:59:47.820] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Jaden Hawker) passive grab (NEWHP: -104)  (Medbay Treatment Center (135, 108, 2))
[2018-09-08 13:00:32.200] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Jaden Hawker) passive grab (NEWHP: -104)  (Chapel (186, 148, 2))
[2018-09-08 13:00:41.000] ATTACK: Bilary/(Lara Black) has thrown the �Geiger counter (Engineering (121, 76, 2))
[2018-09-08 13:00:42.675] ATTACK: Bilary/(Lara Black) has thrown the radiation suit (Engineering (121, 76, 2))
[2018-09-08 13:00:45.506] ATTACK: Bilary/(Lara Black) has thrown the radiation suit (Engineering (122, 74, 2))
[2018-09-08 13:00:46.990] ATTACK: Bilary/(Lara Black) has thrown the radiation hood (Engineering (122, 77, 2))
[2018-09-08 13:08:56.656] ATTACK: SunoPerson/(Suno Fang) has attempted to inject [beaker] with [syringe] which had no reagents (Virology (153, 93, 2))
[2018-09-08 13:08:57.899] ATTACK: SunoPerson/(Suno Fang) has attempted to inject [beaker] with [syringe] which had no reagents (Virology (153, 93, 2))
[2018-09-08 13:09:01.246] ATTACK: SunoPerson/(Suno Fang) has attempted to inject [beaker] with [syringe] which had no reagents (Virology (153, 93, 2))
[2018-09-08 13:09:01.879] ATTACK: SunoPerson/(Suno Fang) has attempted to inject [beaker] with [syringe] which had no reagents (Virology (153, 93, 2))
[2018-09-08 13:10:12.125] ATTACK: Bilary/(Lara Black) has climbed onto [reinforced table] (Bar (142, 137, 2))
[2018-09-08 13:10:44.773] ATTACK: Bilary/(Lara Black) has climbed onto [reinforced table] (Bar (142, 135, 2))
[2018-09-08 13:11:01.671] ATTACK: Bilary/(Lara Black) has attacked Bilary/(Lara Black) with rubber ducky[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Dormitory Toilets (130, 148, 2))
[2018-09-08 13:11:02.506] ATTACK: Bilary/(Lara Black) has thrown the rubber ducky (Dormitory Toilets (130, 148, 2))
[2018-09-08 13:11:05.010] ATTACK: Bilary/(Lara Black) has thrown the rubber ducky (Dormitory Toilets (125, 149, 2))
[2018-09-08 13:12:29.993] ATTACK: SunoPerson/(Suno Fang) has attempted to inject [beaker] with [syringe] which had blood (15u) (Virology (153, 93, 2))
