[2018-08-18 15:41:56.781] Starting up round ID 1985.
[2018-08-18 15:41:56.781] -------------------------
[2018-08-18 15:52:53.282] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 160)  (Lavaland Wastes (143, 38, 5))
[2018-08-18 15:52:54.464] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 145)  (Lavaland Wastes (143, 38, 5))
[2018-08-18 15:52:55.053] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 100)  (Lavaland Wastes (143, 37, 5))
[2018-08-18 15:52:55.449] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 130)  (Lavaland Wastes (142, 38, 5))
[2018-08-18 15:52:56.252] ATTACK: Stoica00/(Dmitry Alexander) has thrown the hazard vest (Auxiliary Tool Storage (92, 136, 2))
[2018-08-18 15:52:56.256] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 115)  (Lavaland Wastes (143, 38, 5))
[2018-08-18 15:52:57.057] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 88.75)  (Lavaland Wastes (143, 37, 5))
[2018-08-18 15:52:57.675] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 75)  (Lavaland Wastes (143, 38, 5))
[2018-08-18 15:52:58.887] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 60)  (Lavaland Wastes (142, 38, 5))
[2018-08-18 15:52:59.020] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 40)  (Lavaland Wastes (144, 38, 5))
[2018-08-18 15:52:59.058] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 77.5)  (Lavaland Wastes (143, 37, 5))
[2018-08-18 15:52:59.747] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 25)  (Lavaland Wastes (142, 38, 5))
[2018-08-18 15:53:00.084] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(watcher) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 5)  (Lavaland Wastes (144, 38, 5))
[2018-08-18 15:53:00.705] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (142, 38, 5))
[2018-08-18 15:53:36.943] ATTACK: Wicker0/(Harlow Moriarty) has shot *no key*/(goliath) with [destabilizing force] (NEWHP: 300)  (Lavaland Wastes (147, 33, 5))
[2018-08-18 15:53:50.765] ATTACK: Wicker0/(Harlow Moriarty) has thrown the bluespace shelter capsule (Lavaland Wastes (142, 40, 5))
[2018-08-18 15:53:59.620] ATTACK: Red Axolotl/(Breaks-The-Bad) has attacked CoolCatIsFeelingGroovy/(Moff) with arm blade[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 85)  (Mining Shuttle (131, 20, 12))
[2018-08-18 15:54:00.457] ATTACK: Red Axolotl/(Breaks-The-Bad) has attacked CoolCatIsFeelingGroovy/(Moff) with arm blade[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 71.875)  (Mining Shuttle (131, 20, 12))
[2018-08-18 15:54:01.255] ATTACK: Red Axolotl/(Breaks-The-Bad) has attacked CoolCatIsFeelingGroovy/(Moff) with arm blade[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 56.875)  (Mining Shuttle (131, 20, 12))
[2018-08-18 15:54:02.145] ATTACK: Red Axolotl/(Breaks-The-Bad) has attacked CoolCatIsFeelingGroovy/(Moff) with arm blade[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 41.875)  (Mining Shuttle (131, 20, 12))
[2018-08-18 15:54:03.166] ATTACK: Red Axolotl/(Breaks-The-Bad) has attacked CoolCatIsFeelingGroovy/(Moff) with arm blade[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 26.875)  (Mining Shuttle (131, 20, 12))
[2018-08-18 15:54:04.032] ATTACK: Red Axolotl/(Breaks-The-Bad) has attacked CoolCatIsFeelingGroovy/(Moff) with arm blade[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 11.875)  (Mining Shuttle (131, 20, 12))
[2018-08-18 15:54:04.595] ATTACK: Red Axolotl/(Breaks-The-Bad) has attacked CoolCatIsFeelingGroovy/(Moff) with arm blade[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -1.25)  (Mining Shuttle (131, 20, 12))
[2018-08-18 15:54:05.432] ATTACK: Red Axolotl/(Breaks-The-Bad) has attacked CoolCatIsFeelingGroovy/(Moff) with arm blade[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -29.375)  (Mining Shuttle (131, 20, 12))
[2018-08-18 15:54:06.409] ATTACK: Red Axolotl/(Breaks-The-Bad) has attacked CoolCatIsFeelingGroovy/(Moff) with arm blade[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -31.25)  (Mining Shuttle (131, 20, 12))
[2018-08-18 15:54:07.306] ATTACK: Red Axolotl/(Breaks-The-Bad) has attacked CoolCatIsFeelingGroovy/(Moff) with arm blade[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -46.25)  (Mining Shuttle (131, 20, 12))
[2018-08-18 15:54:10.440] ATTACK: Red Axolotl/(Breaks-The-Bad) has attacked CoolCatIsFeelingGroovy/(Moff) with arm blade[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -61.9167)  (Mining Shuttle (77, 107, 2))
[2018-08-18 15:54:11.374] ATTACK: Red Axolotl/(Breaks-The-Bad) has attacked *no key*/(Moff) with arm blade[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -126.917)  (Mining Shuttle (77, 107, 2))
[2018-08-18 15:54:19.775] ATTACK: Red Axolotl/(Breaks-The-Bad) has grabbed *no key*/(Moff) passive grab (NEWHP: -126.917)  (Mining Shuttle (77, 106, 2))
[2018-08-18 15:54:21.701] ATTACK: Red Axolotl/(Breaks-The-Bad) has grabbed *no key*/(Moff) aggressive grab (NEWHP: -126.917)  (Mining Shuttle (77, 106, 2))
[2018-08-18 15:54:22.851] ATTACK: Red Axolotl/(Breaks-The-Bad) has attempted to neck grab *no key*/(Moff) neck grab (NEWHP: -126.917)  (Mining Shuttle (77, 106, 2))
[2018-08-18 15:54:24.108] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(goliath) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 255)  (Emergency Shelter (142, 40, 5))
[2018-08-18 15:54:25.113] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(goliath) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 240)  (Emergency Shelter (142, 39, 5))
[2018-08-18 15:54:25.319] ATTACK: *no key*/(goliath) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 66.25)  (Emergency Shelter (143, 39, 5))
[2018-08-18 15:54:25.814] ATTACK: Red Axolotl/(Breaks-The-Bad) has grabbed *no key*/(Moff) neck grab (NEWHP: -126.917)  (Mining Shuttle (77, 106, 2))
[2018-08-18 15:54:26.167] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [weakened kinetic force] (NEWHP: 230)  (Emergency Shelter (142, 41, 5))
[2018-08-18 15:54:26.381] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(goliath) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 210)  (Emergency Shelter (142, 39, 5))
[2018-08-18 15:54:27.348] ATTACK: Wicker0/(Harlow Moriarty) has shot *no key*/(goliath) with [destabilizing force] (NEWHP: 210)  (Emergency Shelter (142, 39, 5))
[2018-08-18 15:54:27.915] ATTACK: Red Axolotl/(Breaks-The-Bad) has attempted to strangle *no key*/(Moff) kill grab (NEWHP: -126.917)  (Mining Shuttle (77, 106, 2))
[2018-08-18 15:54:27.982] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(goliath) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 190)  (Emergency Shelter (142, 39, 5))
[2018-08-18 15:54:28.943] ATTACK: Wicker0/(Harlow Moriarty) has shot *no key*/(goliath) with [destabilizing force] (NEWHP: 140)  (Emergency Shelter (142, 39, 5))
[2018-08-18 15:54:29.319] ATTACK: *no key*/(goliath) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 90.5)  (Emergency Shelter (142, 40, 5))
[2018-08-18 15:54:29.393] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(goliath) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 120)  (Emergency Shelter (142, 39, 5))
[2018-08-18 15:54:30.282] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(goliath) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 50)  (Emergency Shelter (142, 39, 5))
[2018-08-18 15:54:30.439] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(goliath) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 35)  (Emergency Shelter (142, 41, 5))
[2018-08-18 15:54:30.864] ATTACK: Red Axolotl/(Breaks-The-Bad) has strangled *no key*/(Moff) kill grab (NEWHP: -126.917)  (Mining Shuttle (77, 106, 2))
[2018-08-18 15:54:31.238] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [weakened kinetic force] (NEWHP: 25)  (Emergency Shelter (142, 41, 5))
[2018-08-18 15:54:31.320] ATTACK: *no key*/(goliath) has attacked Wicker0/(Harlow Moriarty) (NEWHP: 79.25)  (Emergency Shelter (142, 40, 5))
[2018-08-18 15:54:31.462] ATTACK: Wicker0/(Harlow Moriarty) has shot *no key*/(goliath) with [destabilizing force] (NEWHP: 25)  (Emergency Shelter (142, 39, 5))
[2018-08-18 15:54:32.037] ATTACK: Wicker0/(Harlow Moriarty) has attacked *no key*/(goliath) with proto-kinetic crusher (Wielded)[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 5)  (Emergency Shelter (142, 39, 5))
[2018-08-18 15:54:32.527] ATTACK: AzlanonPc/(Jetra Norlan) has attacked Wicker0/(Harlow Moriarty) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 61.25)  (Emergency Shelter (142, 41, 5))
[2018-08-18 15:55:30.934] ATTACK: Red Axolotl/(Breaks-The-Bad) has stripped the explorer suit off *no key*/(Moff) (NEWHP: -24.4167)  (Mining Shuttle (78, 106, 2))
[2018-08-18 15:55:31.733] ATTACK: Red Axolotl/(Breaks-The-Bad) has stripped the mining boots off *no key*/(Moff) (NEWHP: -24.4167)  (Mining Shuttle (78, 106, 2))
[2018-08-18 15:55:32.157] ATTACK: Red Axolotl/(Breaks-The-Bad) has stripped the shaft miner's jumpsuit off *no key*/(Moff) (NEWHP: -24.4167)  (Mining Shuttle (78, 106, 2))
[2018-08-18 15:55:34.183] ATTACK: Red Axolotl/(Breaks-The-Bad) has stripped the leather satchel off *no key*/(Moff) (NEWHP: -24.4167)  (Mining Shuttle (78, 106, 2))
[2018-08-18 15:55:35.482] ATTACK: AzlanonPc/(Jetra Norlan) has attempted to inject Wicker0/(Harlow Moriarty) with [survival medipen] (Salbutamol, Leporazine, Tricordrazine, Epinephrine, Nanites and Omnizine) (NEWHP: 70.375)  (Emergency Shelter (142, 41, 5))
[2018-08-18 15:55:35.483] ATTACK: AzlanonPc/(Jetra Norlan) has injected Wicker0/(Harlow Moriarty) with [survival medipen] (Salbutamol, Leporazine, Tricordrazine, Epinephrine, Nanites and Omnizine) (NEWHP: 70.375)  (Emergency Shelter (142, 41, 5))
