[2018-09-09 00:12:38.231] Starting up round ID 2217.
[2018-09-09 00:12:38.231] -------------------------
[2018-09-09 00:43:20.743] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -23.5)  (Bar (144, 132, 2))
[2018-09-09 00:43:21.961] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -30.2)  (Bar (144, 132, 2))
[2018-09-09 00:43:22.845] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -40.2)  (Bar (144, 132, 2))
[2018-09-09 00:43:23.826] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -47)  (Bar (144, 132, 2))
[2018-09-09 00:43:24.745] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -54.7)  (Bar (144, 132, 2))
[2018-09-09 00:43:25.640] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -63.7)  (Bar (144, 132, 2))
[2018-09-09 00:43:26.586] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -73.7)  (Bar (144, 132, 2))
[2018-09-09 00:43:27.455] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -82.7)  (Bar (144, 132, 2))
[2018-09-09 00:43:28.360] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -90.5)  (Bar (144, 132, 2))
[2018-09-09 00:43:29.279] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -99.5)  (Bar (144, 132, 2))
[2018-09-09 00:43:30.282] ATTACK: Luka Noktorios/(Moth Salts) has attacked *no key*/(Grodd IX) with broken glass of ice[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -108.5)  (Bar (144, 132, 2))
[2018-09-09 00:44:03.084] ATTACK: Luka Noktorios/(Moth Salts) has thrown the broken glass of ice (Bar (140, 132, 2))
[2018-09-09 00:45:52.759] ATTACK: BuckyBoy/(Beau Richards) has thrown the banana cream pie (Library (176, 133, 2))
[2018-09-09 00:45:52.906] ATTACK: BuckyBoy/(Beau Richards) has threw and hit Jesslynbrooke/(Jess Jenkers) with [banana cream pie] (NEWHP: 100)  (Library (176, 133, 2))
