[2018-09-04 21:47:16.162] Starting up round ID 2177.
[2018-09-04 21:47:16.162] -------------------------
[2018-09-04 21:57:06.231] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 120)  (Lavaland Wastes (73, 79, 5))
[2018-09-04 21:57:06.679] ATTACK: ChippedIce/(Hana Robusto) has attacked Bluezinho/(Bluezinho Robert) with god hand[DC] (INTENT: HELP) (DAMTYPE: FIRE) (NEWHP: 71.5)  (Locker Room (73, 136, 2))
[2018-09-04 21:57:07.285] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 92.1)  (Lavaland Wastes (72, 79, 5))
[2018-09-04 21:57:07.408] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 105)  (Lavaland Wastes (73, 79, 5))
[2018-09-04 21:57:08.214] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 90)  (Lavaland Wastes (73, 79, 5))
[2018-09-04 21:57:09.129] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 75)  (Lavaland Wastes (73, 79, 5))
[2018-09-04 21:57:09.285] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 81.6)  (Lavaland Wastes (72, 79, 5))
[2018-09-04 21:57:09.969] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 35)  (Lavaland Wastes (73, 79, 5))
[2018-09-04 21:57:10.035] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (73, 79, 5))
[2018-09-04 21:57:23.031] ATTACK: ChippedIce/(Hana Robusto) has slipped on the [floor] (Locker Room (72, 138, 2))
[2018-09-04 21:57:24.245] ATTACK: Bluezinho/(Bluezinho Robert) has flashed(targeted) ChippedIce/(Hana Robusto) with [flash] (NEWHP: 82)  (Locker Room (73, 137, 2))
[2018-09-04 21:57:26.419] ATTACK: Bluezinho/(Bluezinho Robert) has punched ChippedIce/(Hana Robusto) (NEWHP: 77)  (Locker Room (73, 137, 2))
