[2018-08-22 17:51:41.595] Starting up round ID 2043.
[2018-08-22 17:51:41.595] -------------------------
[2018-08-22 18:08:14.401] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:14.520] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:14.982] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:15.120] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (91, 116, 2))
[2018-08-22 18:08:19.684] ATTACK: Mr.Cheese1/(Buzzbo Billington) has attacked [hydroponics tray] with [wood floor tile] (Hydroponics (162, 138, 2))
[2018-08-22 18:08:39.119] ATTACK: Shamzie/(Lukash Russianman) has slipped on the [floor] (Cargo Office (91, 119, 2))
[2018-08-22 18:08:41.261] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:41.374] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:41.764] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:41.876] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:42.331] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:42.472] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:42.731] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:42.872] ATTACK: ChippedIce/(Hana Robusto) has shot Shamzie/(Lukash Russianman) with [practice laser] (NEWHP: 79)  (Cargo Office (92, 116, 2))
[2018-08-22 18:08:43.164] ATTACK: ChippedIce/(Hana Robusto) has fired at Shamzie/(Lukash Russianman) with [practice laser] from Cargo Office (NEWHP: 79)  (Cargo Office (92, 116, 2))
