[2018-09-05 16:09:40.526] Starting up round ID 2184.
[2018-09-05 16:09:40.527] -------------------------
[2018-09-05 16:32:55.658] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:32:56.443] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:32:57.349] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:32:58.133] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:32:59.094] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:33:00.093] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:33:01.165] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:33:02.124] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:33:02.939] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:33:03.737] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:33:04.622] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:33:05.523] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:33:06.318] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:33:07.234] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:33:08.269] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:33:09.214] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:33:10.049] ATTACK: Bluezinho/(Popcorn) has attacked [reinforced window] with [baseball bat] (Medbay Central (155, 109, 2))
[2018-09-05 16:33:55.555] ATTACK: Bilary/(Lara Black) has thrown the super-capacity power cell (Robotics Lab (176, 118, 2))
[2018-09-05 16:34:01.946] ATTACK: Bilary/(Lara Black) has attacked [cell charger] with [super-capacity power cell] (Robotics Lab (176, 119, 2))
[2018-09-05 16:34:05.591] ATTACK: Bilary/(Lara Black) has attacked [cell charger] with [super-capacity power cell] (Robotics Lab (176, 120, 2))
[2018-09-05 16:34:07.224] ATTACK: Bilary/(Lara Black) has thrown the super-capacity power cell (Robotics Lab (176, 120, 2))
[2018-09-05 16:34:13.466] ATTACK: Bilary/(Lara Black) has thrown the rapid part exchange device (Research Division (179, 116, 2))
[2018-09-05 16:34:53.042] ATTACK: Mr.Cheese1/(Benny Tequila) has fed Mr.Cheese1/(Benny Tequila) with charcoal (10u)[DC] (NEWHP: 100)  (Medbay Central (154, 110, 2))
[2018-09-05 16:35:01.609] ATTACK: Bluezinho/(Popcorn) has attacked [sleeper] with [multitool] (Medbay Treatment Center (140, 115, 2))
[2018-09-05 16:36:01.076] ATTACK: Mr.Cheese1/(Benny Tequila) has attempted to inject Mr.Cheese1/(Benny Tequila) with [�DNA injector] (NEWHP: 100)  (Genetics Lab (152, 114, 2))
[2018-09-05 16:36:01.076] ATTACK: Mr.Cheese1/(Benny Tequila) has injected Mr.Cheese1/(Benny Tequila) with [�DNA injector] (NEWHP: 100)  (Genetics Lab (152, 114, 2))
[2018-09-05 16:36:01.079] ATTACK: Mr.Cheese1/(Benny Tequila) injected Mr.Cheese1/(Benny Tequila) with the �DNA injector (Genetics Lab (152, 114, 2))
[2018-09-05 16:36:19.535] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [floor] with [laser] from Medbay Treatment Center (Medbay Treatment Center (134, 112, 2))
[2018-09-05 16:36:19.987] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [floor] with [laser] from Medbay Treatment Center (Medbay Treatment Center (134, 112, 2))
[2018-09-05 16:36:20.589] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [floor] with [laser] from Medbay Treatment Center (Medbay Treatment Center (134, 112, 2))
[2018-09-05 16:36:20.987] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [floor] with [laser] from Medbay Treatment Center (Medbay Treatment Center (134, 112, 2))
[2018-09-05 16:36:21.388] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [floor] with [laser] from Medbay Treatment Center (Medbay Treatment Center (134, 112, 2))
[2018-09-05 16:36:21.794] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [floor] with [laser] from Medbay Treatment Center (Medbay Treatment Center (134, 112, 2))
[2018-09-05 16:36:22.204] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [floor] with [laser] from Medbay Treatment Center (Medbay Treatment Center (134, 112, 2))
[2018-09-05 16:36:38.225] ATTACK: Bluezinho/(Popcorn) has thrown the baseball bat (Central Primary Hallway (128, 129, 2))
[2018-09-05 16:36:55.078] ATTACK: Zeop/(Gordon Jenkins) has attacked [Medbay] with [baseball bat] (Medbay Central (138, 122, 2))
[2018-09-05 16:36:55.947] ATTACK: Zeop/(Gordon Jenkins) has attacked [Medbay] with [baseball bat] (Medbay Central (138, 122, 2))
[2018-09-05 16:36:57.015] ATTACK: Zeop/(Gordon Jenkins) has attacked [Medbay] with [baseball bat] (Medbay Central (138, 122, 2))
[2018-09-05 16:37:07.103] ATTACK: Mr.Cheese1/(Benny Tequila) has slipped on the [soap] (Medbay Central (135, 117, 2))
[2018-09-05 16:37:11.515] ATTACK: Zeop/(Gordon Jenkins) has thrown the mechanical toolbox (Medbay Central (135, 118, 2))
[2018-09-05 16:37:18.148] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [Chemistry Desk] with [laser] from Medbay Central (Medbay Central (135, 115, 2))
[2018-09-05 16:37:18.256] ATTACK: Mr.Cheese1/(Benny Tequila) has shot Zeop/(Gordon Jenkins) with [laser] (NEWHP: 85)  (Medbay Central (135, 115, 2))
[2018-09-05 16:37:18.677] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [Chemistry Desk] with [laser] from Medbay Central (Medbay Central (135, 115, 2))
[2018-09-05 16:37:19.235] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [reinforced table] with [laser] from Medbay Central (Medbay Central (135, 115, 2))
[2018-09-05 16:37:20.661] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [floor] with [laser] from Medbay Central (Medbay Central (138, 117, 2))
[2018-09-05 16:37:28.831] ATTACK: Zeop/(Gordon Jenkins) has attacked [wall] with [baseball bat] (Medbay Central (138, 120, 2))
[2018-09-05 16:38:08.385] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:09.509] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:10.464] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:11.385] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:12.235] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:13.221] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:14.106] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:14.956] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:15.834] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:16.787] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:17.923] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:18.886] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:19.704] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:20.535] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:21.334] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:22.231] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:23.104] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:24.195] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:25.128] ATTACK: Bilary/(Lara Black) has attacked [Engineering Delivery] with [fire extinguisher] (Engineering (96, 75, 2))
[2018-09-05 16:38:37.737] ATTACK: Bilary/(Lara Black) has attacked [department protolathe (Engineering)] with [glass] (Engineering (97, 72, 2))
[2018-09-05 16:38:47.551] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:38:48.385] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:38:49.268] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:38:50.239] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:38:51.129] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:38:52.072] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:38:52.887] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:38:53.686] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:38:54.478] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:38:55.385] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:38:56.200] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:38:57.041] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:38:57.885] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:38:58.769] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:38:59.568] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:39:00.537] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:39:01.387] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:39:02.162] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:39:02.984] ATTACK: Zeop/(Gordon Jenkins) has attacked [Research and Development Desk] with [baseball bat] (Starboard Primary Hallway (184, 127, 2))
[2018-09-05 16:39:05.467] ATTACK: Bilary/(Lara Black) has thrown the plasteel (Robotics Lab (175, 121, 2))
[2018-09-05 16:39:10.293] ATTACK: Zeop/(Gordon Jenkins) has climbed onto [reinforced table] (Research and Development (184, 126, 2))
[2018-09-05 16:39:40.969] ATTACK: Zeop/(Gordon Jenkins) has climbed onto [reinforced table] (Research and Development (184, 126, 2))
[2018-09-05 16:39:47.582] ATTACK: Bluezinho/(Popcorn) has thrown the camera assembly (Auxiliary Base Construction (47, 158, 2))
