[2018-08-26 05:56:41.911] Starting up round ID 2084.
[2018-08-26 05:56:41.911] -------------------------
[2018-08-26 06:09:57.719] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Atmospherics (117, 98, 2))
[2018-08-26 06:09:58.773] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Atmospherics (117, 98, 2))
[2018-08-26 06:09:59.594] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Atmospherics (117, 98, 2))
[2018-08-26 06:10:00.443] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Atmospherics (117, 98, 2))
[2018-08-26 06:10:01.234] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Atmospherics (117, 98, 2))
[2018-08-26 06:10:02.252] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Atmospherics (117, 98, 2))
[2018-08-26 06:10:03.385] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Atmospherics (117, 98, 2))
[2018-08-26 06:10:04.446] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Atmospherics (117, 98, 2))
[2018-08-26 06:10:05.225] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Atmospherics (117, 98, 2))
[2018-08-26 06:10:06.340] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced table] with [fire axe (Wielded)] (Atmospherics (117, 98, 2))
[2018-08-26 06:10:10.649] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced window] with [fire axe (Wielded)] (Aft Primary Hallway (115, 85, 2))
[2018-08-26 06:10:12.146] ATTACK: BRhunter45/(Adolph Mills) has attacked [grille] with [fire axe (Wielded)] (Aft Primary Hallway (115, 85, 2))
[2018-08-26 06:10:14.283] ATTACK: BRhunter45/(Adolph Mills) has attacked [reinforced window] with [fire axe (Wielded)] (Engineering Foyer (118, 85, 2))
[2018-08-26 06:10:15.355] ATTACK: BRhunter45/(Adolph Mills) has attacked [grille] with [fire axe (Wielded)] (Engineering Foyer (118, 85, 2))
[2018-08-26 06:10:16.914] ATTACK: BRhunter45/(Adolph Mills) has attacked [�chief engineer's locker] with [fire axe (Wielded)] (Chief Engineer's Office (119, 84, 2))
[2018-08-26 06:10:18.450] ATTACK: BRhunter45/(Adolph Mills) has attacked [�chief engineer's locker] with [fire axe (Wielded)] (Chief Engineer's Office (119, 82, 2))
[2018-08-26 06:10:19.256] ATTACK: BRhunter45/(Adolph Mills) has attacked [�chief engineer's locker] with [fire axe (Wielded)] (Chief Engineer's Office (119, 82, 2))
[2018-08-26 06:10:20.201] ATTACK: BRhunter45/(Adolph Mills) has attacked [�chief engineer's locker] with [fire axe (Wielded)] (Chief Engineer's Office (119, 82, 2))
[2018-08-26 06:10:21.065] ATTACK: BRhunter45/(Adolph Mills) has attacked [�chief engineer's locker] with [fire axe (Wielded)] (Chief Engineer's Office (119, 82, 2))
[2018-08-26 06:10:22.088] ATTACK: BRhunter45/(Adolph Mills) has attacked [�chief engineer's locker] with [fire axe (Wielded)] (Chief Engineer's Office (119, 82, 2))
[2018-08-26 06:10:23.065] ATTACK: BRhunter45/(Adolph Mills) has attacked [�chief engineer's locker] with [fire axe (Wielded)] (Chief Engineer's Office (119, 82, 2))
[2018-08-26 06:10:23.859] ATTACK: BRhunter45/(Adolph Mills) has attacked [�chief engineer's locker] with [fire axe (Wielded)] (Chief Engineer's Office (119, 82, 2))
[2018-08-26 06:10:25.018] ATTACK: BRhunter45/(Adolph Mills) has attacked [�chief engineer's locker] with [fire axe (Wielded)] (Chief Engineer's Office (119, 82, 2))
[2018-08-26 06:10:25.840] ATTACK: BRhunter45/(Adolph Mills) has attacked [�chief engineer's locker] with [fire axe (Wielded)] (Chief Engineer's Office (119, 82, 2))
