[2018-08-21 01:10:44.849] Starting up round ID 2025.
[2018-08-21 01:10:44.849] -------------------------
[2018-08-21 01:25:50.010] ATTACK: CthulhuOnIce/(Declan Judge) has attacked [holopad] with [officer's sabre] (Library (172, 134, 2))
[2018-08-21 01:25:51.429] ATTACK: CthulhuOnIce/(Declan Judge) has attacked BuckyBoy/(Beau Richards) with officer's sabre[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 50)  (Library (176, 134, 2))
[2018-08-21 01:25:52.297] ATTACK: CthulhuOnIce/(Declan Judge) has attacked [Chapel] with [officer's sabre] (Library (177, 134, 2))
[2018-08-21 01:25:53.420] ATTACK: CthulhuOnIce/(Declan Judge) has attacked BuckyBoy/(Beau Richards) with officer's sabre[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 15)  (Chapel (179, 133, 2))
[2018-08-21 01:26:38.848] ATTACK: CthulhuOnIce/(Declan Judge) has grabbed BuckyBoy/(Beau Richards) passive grab (NEWHP: 56.25)  (Library (175, 134, 2))
[2018-08-21 01:27:29.777] ATTACK: DarktPlaysBR/(Lisa Standley) has electrified [Construction Area Maintenance] (Construction Area (103, 98, 2))
[2018-08-21 01:27:46.258] ATTACK: CthulhuOnIce/(Declan Judge) has grabbed BuckyBoy/(Beau Richards) passive grab (NEWHP: 56.25)  (Robotics Lab (172, 121, 2))
[2018-08-21 01:27:54.744] ATTACK: CthulhuOnIce/(Declan Judge) has grabbed (Krav Maga) BuckyBoy/(Beau Richards) (NEWHP: 56.25)  (Robotics Lab (176, 119, 2))
[2018-08-21 01:27:54.745] ATTACK: CthulhuOnIce/(Declan Judge) has grabbed BuckyBoy/(Beau Richards) aggressive grab (NEWHP: 56.25)  (Robotics Lab (176, 119, 2))
[2018-08-21 01:27:56.576] ATTACK: CthulhuOnIce/(Declan Judge) has thrown BuckyBoy/(Beau Richards) grab from tile in Robotics Lab (176, 119, 2) towards tile at Robotics Lab (173, 119, 2) (NEWHP: 56.25)  (Robotics Lab (176, 119, 2))
[2018-08-21 01:27:56.579] ATTACK: CthulhuOnIce/(Declan Judge) has thrown Beau Richards (Robotics Lab (176, 119, 2))
[2018-08-21 01:27:58.765] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [rock] with [laser] from Lavaland Wastes (Lavaland Wastes (112, 33, 5))
[2018-08-21 01:27:59.163] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [rock] with [laser] from Lavaland Wastes (Lavaland Wastes (112, 33, 5))
[2018-08-21 01:27:59.573] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [rock] with [laser] from Lavaland Wastes (Lavaland Wastes (112, 33, 5))
[2018-08-21 01:28:00.109] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [rock] with [laser] from Lavaland Wastes (Lavaland Wastes (112, 33, 5))
[2018-08-21 01:28:00.542] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [rock] with [laser] from Lavaland Wastes (Lavaland Wastes (112, 33, 5))
[2018-08-21 01:28:01.445] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [volcanic floor] with [laser] from Lavaland Wastes (Lavaland Wastes (113, 33, 5))
[2018-08-21 01:28:02.111] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [volcanic floor] with [laser] from Lavaland Wastes (Lavaland Wastes (113, 33, 5))
[2018-08-21 01:28:03.424] ATTACK: Mr.Cheese1/(Benny Tequila) has fired at [volcanic floor] with [laser] from Lavaland Wastes (Lavaland Wastes (116, 36, 5))
[2018-08-21 01:28:06.159] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked *no key*/(goldgrub) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 30)  (Lavaland Wastes (120, 37, 5))
[2018-08-21 01:28:07.083] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked *no key*/(goldgrub) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 15)  (Lavaland Wastes (120, 37, 5))
[2018-08-21 01:28:07.866] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked *no key*/(goldgrub) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (120, 37, 5))
[2018-08-21 01:28:08.691] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked *no key*/(goldgrub) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (120, 37, 5))
[2018-08-21 01:28:08.865] ATTACK: CthulhuOnIce/(Declan Judge) has attacked [exosuit fabricator] with [glass] (Robotics Lab (174, 121, 2))
[2018-08-21 01:28:09.521] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked *no key*/(goldgrub) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (120, 37, 5))
[2018-08-21 01:28:10.893] ATTACK: Mr.Cheese1/(Benny Tequila) has attacked *no key*/(goldgrub) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (120, 37, 5))
[2018-08-21 01:28:27.873] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [Captain's Office APC] with [multitool] (Captain's Office (125, 131, 2))
[2018-08-21 01:28:43.581] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 39.25)  (Robotics Lab (175, 121, 2))
[2018-08-21 01:28:44.899] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 38.25)  (Robotics Lab (175, 121, 2))
[2018-08-21 01:28:48.638] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:28:49.555] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:28:49.954] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 40.25)  (Robotics Lab (175, 121, 2))
[2018-08-21 01:28:50.459] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:28:51.251] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:28:52.068] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:28:52.098] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 39.25)  (Robotics Lab (173, 121, 2))
[2018-08-21 01:28:52.944] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 38.25)  (Robotics Lab (173, 121, 2))
[2018-08-21 01:28:53.016] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:28:53.852] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:28:54.615] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:28:55.415] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:28:56.365] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:28:56.975] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 40.25)  (Robotics Lab (173, 121, 2))
[2018-08-21 01:28:57.186] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:28:57.854] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 40.25)  (Robotics Lab (173, 121, 2))
[2018-08-21 01:28:58.128] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:28:58.695] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 39.25)  (Robotics Lab (173, 121, 2))
[2018-08-21 01:28:59.053] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:28:59.852] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:29:00.617] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:29:01.202] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 38.25)  (Robotics Lab (172, 121, 2))
[2018-08-21 01:29:01.435] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:29:02.161] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 38.25)  (Robotics Lab (172, 121, 2))
[2018-08-21 01:29:02.236] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:29:02.988] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 41.25)  (Robotics Lab (172, 121, 2))
[2018-08-21 01:29:03.040] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:29:03.799] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 41.25)  (Robotics Lab (172, 120, 2))
[2018-08-21 01:29:03.852] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:29:04.764] ATTACK: DarktPlaysBR/(Lisa Standley) has attacked [display case] with [fire extinguisher] (Captain's Office (125, 130, 2))
[2018-08-21 01:29:20.407] ATTACK: CthulhuOnIce/(Declan Judge) has grabbed BuckyBoy/(Beau Richards) passive grab (NEWHP: 56.25)  (Robotics Lab (172, 119, 2))
[2018-08-21 01:29:23.445] ATTACK: CthulhuOnIce/(Declan Judge) has grabbed (Krav Maga) BuckyBoy/(Beau Richards) (NEWHP: 56.25)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:29:23.446] ATTACK: CthulhuOnIce/(Declan Judge) has grabbed BuckyBoy/(Beau Richards) aggressive grab (NEWHP: 56.25)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:29:56.754] ATTACK: DarktPlaysBR/(Lisa Standley) has thrown the screwdriver (Cargo Office (87, 118, 2))
[2018-08-21 01:30:34.235] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 40.25)  (Robotics Lab (167, 118, 2))
[2018-08-21 01:30:37.753] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 39.25)  (Robotics Lab (167, 118, 2))
[2018-08-21 01:30:52.024] ATTACK: CthulhuOnIce/(Declan Judge) has operated on BuckyBoy/(Beau Richards) (OPERATION TYPE: prosthetic replacement) (TARGET AREA: l_leg) (NEWHP: 56.25)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:31:56.786] ATTACK: CthulhuOnIce/(Declan Judge) has operated on BuckyBoy/(Beau Richards) (OPERATION TYPE: prosthetic replacement) (TARGET AREA: r_leg) (NEWHP: 53.25)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:32:50.724] ATTACK: BuckyBoy/(Beau Richards) has grabbed CthulhuOnIce/(Declan Judge) passive grab (NEWHP: 41.25)  (Robotics Lab (166, 119, 2))
[2018-08-21 01:32:51.767] ATTACK: BuckyBoy/(Beau Richards) has grabbed CthulhuOnIce/(Declan Judge) aggressive grab (NEWHP: 40.25)  (Robotics Lab (166, 119, 2))
[2018-08-21 01:32:58.900] ATTACK: BuckyBoy/(Beau Richards) has stripped PDA-Declan Judge (Captain) off CthulhuOnIce/(Declan Judge) (NEWHP: 40.25)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:33:15.056] ATTACK: BuckyBoy/(Beau Richards) has stripped the captain's jumpsuit off CthulhuOnIce/(Declan Judge) (NEWHP: 40.25)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:33:20.366] ATTACK: BuckyBoy/(Beau Richards) has operated on CthulhuOnIce/(Declan Judge) (OPERATION TYPE: prosthetic replacement) (TARGET AREA: r_arm) (NEWHP: 38.25)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:33:38.364] ATTACK: BuckyBoy/(Beau Richards) has attacked CthulhuOnIce/(Declan Judge) with scalpel[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: 33.75)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:34:05.119] ATTACK: BuckyBoy/(Beau Richards) has shaked CthulhuOnIce/(Declan Judge) (NEWHP: 24.75)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:34:10.798] ATTACK: BuckyBoy/(Beau Richards) has thrown PDA-Declan Judge (Captain) (Robotics Lab (169, 119, 2))
[2018-08-21 01:34:21.867] ATTACK: DarktPlaysBR/(Lisa Standley) has flashed(targeted) CthulhuOnIce/(Declan Judge) with [flash] (NEWHP: 18.75)  (Robotics Lab (168, 119, 2))
[2018-08-21 01:34:22.664] ATTACK: DarktPlaysBR/(Lisa Standley) has flashed(targeted) CthulhuOnIce/(Declan Judge) with [flash] (NEWHP: 18.75)  (Robotics Lab (168, 119, 2))
[2018-08-21 01:34:27.127] ATTACK: DarktPlaysBR/(Lisa Standley) has handcuffed CthulhuOnIce/(Declan Judge) (NEWHP: 17.75)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:34:31.826] ATTACK: DarktPlaysBR/(Lisa Standley) has stripped the sunglasses off CthulhuOnIce/(Declan Judge) (NEWHP: 13.75)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:34:34.176] ATTACK: DarktPlaysBR/(Lisa Standley) has stripped �the captain's bowman headset off CthulhuOnIce/(Declan Judge) (NEWHP: 16.75)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:34:34.977] ATTACK: DarktPlaysBR/(Lisa Standley) has stripped the captain's hat off CthulhuOnIce/(Declan Judge) (NEWHP: 14.75)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:34:36.968] ATTACK: DarktPlaysBR/(Lisa Standley) has flashed(targeted) CthulhuOnIce/(Declan Judge) with [flash] (NEWHP: 12.75)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:34:50.558] ATTACK: Mr.Cheese1/(Benny Tequila) has thrown the surgical drapes (Robotics Lab (168, 119, 2))
[2018-08-21 01:34:52.550] ATTACK: DarktPlaysBR/(Lisa Standley) has fired at CthulhuOnIce/(Declan Judge) with [laser] from Robotics Lab (NEWHP: 8.75)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:34:52.554] ATTACK: DarktPlaysBR/(Lisa Standley) has shot CthulhuOnIce/(Declan Judge) with [laser] (NEWHP: -91.25)  (Robotics Lab (167, 119, 2))
[2018-08-21 01:34:57.377] ATTACK: Bobcat49/(Rose White) has thrown the health analyzer (Virology (155, 96, 2))
[2018-08-21 01:35:09.129] ATTACK: Mr.Cheese1/(Benny Tequila) has grabbed CthulhuOnIce/(Declan Judge) passive grab (NEWHP: -100.583)  (Robotics Lab (168, 119, 2))
