[2018-09-10 04:43:04.954] Starting up round ID 2236.
[2018-09-10 04:43:04.954] -------------------------
[2018-09-10 10:15:09.809] ATTACK: Pandolphina/(Hugo Dickinson) has attacked *no key*/(legion) with proto-kinetic crusher (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (176, 32, 5))
[2018-09-10 10:15:34.125] ATTACK: Pandolphina/(Hugo Dickinson) has shot *no key*/(legion) with [destabilizing force] (NEWHP: 75)  (Lavaland Wastes (190, 32, 5))
[2018-09-10 10:15:35.056] ATTACK: Pandolphina/(Hugo Dickinson) has attacked *no key*/(legion) with proto-kinetic crusher (Wielded)[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 55)  (Lavaland Wastes (190, 33, 5))
[2018-09-10 10:17:15.452] ATTACK: SunoPerson/(Suno Fang) has attacked SunoPerson/(Suno Fang) with big red button[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: 100)  (Delivery Office (91, 125, 2))
[2018-09-10 10:17:16.443] ATTACK: SunoPerson/(Suno Fang) has attacked SunoPerson/(Suno Fang) with big red button[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: 100)  (Delivery Office (91, 125, 2))
[2018-09-10 10:17:31.528] ATTACK: SunoPerson/(Suno Fang) has attacked SunoPerson/(Suno Fang) with space carp plushie[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: 100)  (Delivery Office (90, 125, 2))
[2018-09-10 10:17:33.809] ATTACK: SunoPerson/(Suno Fang) has attacked SunoPerson/(Suno Fang) with space carp plushie[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: 100)  (Delivery Office (90, 125, 2))
[2018-09-10 10:17:35.040] ATTACK: SunoPerson/(Suno Fang) has attacked SunoPerson/(Suno Fang) with space carp plushie[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: 100)  (Delivery Office (90, 125, 2))
[2018-09-10 10:17:35.973] ATTACK: SunoPerson/(Suno Fang) has attacked SunoPerson/(Suno Fang) with space carp plushie[DC] (INTENT: GRAB) (DAMTYPE: BRUTE) (NEWHP: 100)  (Delivery Office (90, 125, 2))
[2018-09-10 10:19:32.984] ATTACK: SunoPerson/(Suno Fang) has fired at Pandolphina/(Hugo Dickinson) with [electrode] from Cargo Office (NEWHP: 100)  (Cargo Office (86, 117, 2))
[2018-09-10 10:19:33.055] ATTACK: SunoPerson/(Suno Fang) has shot Pandolphina/(Hugo Dickinson) with [electrode] (NEWHP: 100)  (Cargo Office (86, 117, 2))
[2018-09-10 10:19:38.853] ATTACK: SunoPerson/(Suno Fang) has handcuffed Pandolphina/(Hugo Dickinson) (NEWHP: 100)  (Cargo Office (87, 117, 2))
[2018-09-10 10:19:45.874] ATTACK: SunoPerson/(Suno Fang) has grabbed Pandolphina/(Hugo Dickinson) passive grab (NEWHP: 100)  (Cargo Office (87, 118, 2))
[2018-09-10 10:25:57.640] ATTACK: SunoPerson/(Suno Fang) has grabbed *no key*/(Ian) passive grab (NEWHP: 20)  (Head of Personnel's Office (105, 115, 2))
[2018-09-10 10:39:31.200] ATTACK: dotlyna/(The Ghost of Poly) has attacked *no key*/(Rotting Carcass) (NEWHP: 60)  (Abandoned Ship Medbay (160, 40, 12))
[2018-09-10 10:39:32.132] ATTACK: dotlyna/(The Ghost of Poly) has attacked *no key*/(Rotting Carcass) (NEWHP: 94)  (Abandoned Ship Medbay (160, 40, 12))
[2018-09-10 10:39:33.325] ATTACK: dotlyna/(The Ghost of Poly) has attacked *no key*/(Rotting Carcass) (NEWHP: 84)  (Abandoned Ship Medbay (160, 40, 12))
[2018-09-10 10:39:56.180] ATTACK: SunoPerson/(Suno Fang) has attacked dotlyna/(The Ghost of Poly) (NEWHP: 80)  (Escape Pod One (144, 18, 12))
[2018-09-10 10:39:58.438] ATTACK: SunoPerson/(Suno Fang) has attacked dotlyna/(The Ghost of Poly) (NEWHP: 80)  (Escape Pod One (144, 18, 12))
[2018-09-10 10:39:58.580] ATTACK: dotlyna/(The Ghost of Poly) has attacked SunoPerson/(Suno Fang) (NEWHP: 100)  (Escape Pod One (144, 19, 12))
[2018-09-10 10:39:59.480] ATTACK: dotlyna/(The Ghost of Poly) has attacked SunoPerson/(Suno Fang) (NEWHP: 96.2)  (Escape Pod One (144, 19, 12))
[2018-09-10 10:40:43.528] ATTACK: *no key*/(colossus) has fired at SunoPerson/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: 92.5)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:43.530] ATTACK: *no key*/(colossus) has fired at SunoPerson/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: 92.5)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:43.534] ATTACK: *no key*/(colossus) has fired at SunoPerson/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: 92.5)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:43.538] ATTACK: *no key*/(colossus) has fired at SunoPerson/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: 92.5)  (CentCom Recovery Ship (106, 24, 1))
[2018-09-10 10:40:43.544] ATTACK: *no key*/(colossus) has attacked SunoPerson/(Suno Fang) (NEWHP: 92.5)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.546] ATTACK: *no key*/(colossus) has fired at SunoPerson/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: 62.5)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.549] ATTACK: *no key*/(colossus) has shot SunoPerson/(Suno Fang) with [death bolt] (NEWHP: 37.5)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.550] ATTACK: *no key*/(colossus) has fired at SunoPerson/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: 37.5)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.553] ATTACK: *no key*/(colossus) has shot SunoPerson/(Suno Fang) with [death bolt] (NEWHP: 12.5)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.553] ATTACK: *no key*/(colossus) has fired at SunoPerson/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: 12.5)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.557] ATTACK: *no key*/(colossus) has shot SunoPerson/(Suno Fang) with [death bolt] (NEWHP: -12.5)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.558] ATTACK: *no key*/(colossus) has fired at SunoPerson/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: -12.5)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.561] ATTACK: *no key*/(colossus) has shot SunoPerson/(Suno Fang) with [death bolt] (NEWHP: -37.5)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.562] ATTACK: *no key*/(colossus) has fired at SunoPerson/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: -37.5)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.564] ATTACK: *no key*/(colossus) has shot SunoPerson/(Suno Fang) with [death bolt] (NEWHP: -62.5)  (CentCom Recovery Ship (106, 22, 1))
[2018-09-10 10:40:43.564] ATTACK: *no key*/(colossus) has fired at SunoPerson/(Suno Fang) with [death bolt] from CentCom Recovery Ship (NEWHP: -62.5)  (CentCom Recovery Ship (106, 22, 1))
