[2018-09-09 21:37:28.943] Starting up round ID 2232.
[2018-09-09 21:37:28.943] -------------------------
[2018-09-09 21:54:24.052] ATTACK: Jaedo/(Peter Parker) has attacked [trophy display case] with [curator's whip] (Library (172, 136, 2))
[2018-09-09 21:54:46.691] ATTACK: Jaedo/(Peter Parker) has kicks [trophy display case] (Library (173, 137, 2))
[2018-09-09 21:54:50.622] ATTACK: Jaedo/(Peter Parker) has kicks [trophy display case] (Library (173, 137, 2))
[2018-09-09 21:56:00.295] ATTACK: AzlanonPc/(Jetra Norlan) has attacked AzlanonPc/(Jetra Norlan) with fulton extraction pack[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 79.7)  (Lavaland Wastes (126, 76, 5))
[2018-09-09 21:56:39.544] ATTACK: AzlanonPc/(Jetra Norlan) has grabbed *no key*/(Brooklyn Harding) passive grab (NEWHP: -565.4)  (Mining Dock (88, 106, 2))
[2018-09-09 21:56:40.282] ATTACK: Wumbowigis/(Honker) has thrown Space Cola (Library (170, 142, 2))
[2018-09-09 21:57:16.606] ATTACK: AzlanonPc/(Jetra Norlan) has thrown the mining satchel (Cargo Office (86, 116, 2))
[2018-09-09 21:57:18.590] ATTACK: Juicy_Chicken/(Mr Fluffles) has stripped the medieval helmet off *no key*/(Brooklyn Harding) (NEWHP: -565.4)  (Cargo Office (87, 119, 2))
[2018-09-09 21:57:18.667] ATTACK: AzlanonPc/(Jetra Norlan) has thrown the mining satchel (Cargo Office (86, 116, 2))
[2018-09-09 21:57:20.652] ATTACK: AzlanonPc/(Jetra Norlan) has thrown the mining satchel (Cargo Office (86, 116, 2))
[2018-09-09 21:57:21.190] ATTACK: Juicy_Chicken/(Mr Fluffles) has stripped the plate armour off *no key*/(Brooklyn Harding) (NEWHP: -565.4)  (Cargo Office (87, 119, 2))
[2018-09-09 21:57:24.107] ATTACK: AzlanonPc/(Jetra Norlan) has thrown the mining satchel (Cargo Office (86, 116, 2))
[2018-09-09 21:57:31.942] ATTACK: Flerpaderpamerp134/(Jack Davidson) has shaked AzlanonPc/(Jetra Norlan) (NEWHP: 79.7)  (Cargo Office (87, 115, 2))
[2018-09-09 21:57:34.652] ATTACK: AzlanonPc/(Jetra Norlan) has shaked Flerpaderpamerp134/(Jack Davidson) (NEWHP: 100)  (Cargo Office (88, 115, 2))
[2018-09-09 21:58:11.618] ATTACK: Juicy_Chicken/(Mr Fluffles) has stripped the wooden buckler off *no key*/(Brooklyn Harding) (NEWHP: -565.4)  (Cargo Office (86, 118, 2))
[2018-09-09 21:59:36.038] ATTACK: Juicy_Chicken/(Mr Fluffles) has leg sweeped GreenTea98/(Helps-The-Station) (NEWHP: 95)  (Cargo Bay (84, 121, 2))
[2018-09-09 21:59:38.625] ATTACK: Juicy_Chicken/(Mr Fluffles) has grabbed (Krav Maga) GreenTea98/(Helps-The-Station) (NEWHP: 95)  (Cargo Bay (84, 121, 2))
[2018-09-09 21:59:38.627] ATTACK: Juicy_Chicken/(Mr Fluffles) has grabbed GreenTea98/(Helps-The-Station) passive grab (NEWHP: 95)  (Cargo Bay (84, 121, 2))
[2018-09-09 21:59:53.475] ATTACK: Bobcat49/(Rose White) has grabbed *no key*/(C.L.E.A.N.) passive grab (NEWHP: 25)  (Medbay Central (149, 111, 2))
[2018-09-09 22:00:29.726] ATTACK: Wumbowigis/(Honker) has thrown the banana cream pie (Theatre (135, 146, 2))
[2018-09-09 22:00:33.700] ATTACK: *no key*/(monkey (607)) has attacked Bobcat49/(Rose White) (NEWHP: 100)  (Genetics Lab (160, 118, 2))
[2018-09-09 22:00:35.139] ATTACK: *no key*/(Syndicate Operative) has fired at GreenTea98/(Helps-The-Station) with [10mm bullet] from Supply Shuttle (NEWHP: 95)  (Supply Shuttle (64, 121, 2))
[2018-09-09 22:00:35.144] ATTACK: *no key*/(Syndicate Operative) has fired at Juicy_Chicken/(Mr Fluffles) with [10mm bullet] from Supply Shuttle (NEWHP: 100)  (Supply Shuttle (64, 120, 2))
[2018-09-09 22:00:35.150] ATTACK: *no key*/(Syndicate Operative) has fired at Juicy_Chicken/(Mr Fluffles) with [10mm bullet] from Supply Shuttle (NEWHP: 100)  (Supply Shuttle (64, 119, 2))
[2018-09-09 22:00:35.155] ATTACK: *no key*/(Syndicate Operative) has fired at GreenTea98/(Helps-The-Station) with [10mm bullet] from Supply Shuttle (NEWHP: 95)  (Supply Shuttle (64, 116, 2))
[2018-09-09 22:00:39.197] ATTACK: *no key*/(Syndicate Operative) has fired at GreenTea98/(Helps-The-Station) with [10mm bullet] from Cargo Bay (NEWHP: 95)  (Cargo Bay (69, 119, 2))
[2018-09-09 22:00:39.206] ATTACK: *no key*/(Syndicate Operative) has fired at GreenTea98/(Helps-The-Station) with [10mm bullet] from Cargo Bay (NEWHP: 95)  (Cargo Bay (69, 115, 2))
[2018-09-09 22:00:39.590] ATTACK: *no key*/(Syndicate Operative) has shot GreenTea98/(Helps-The-Station) with [10mm bullet] (NEWHP: 74.7)  (Cargo Bay (69, 115, 2))
[2018-09-09 22:00:39.641] ATTACK: *no key*/(Syndicate Operative) has shot GreenTea98/(Helps-The-Station) with [10mm bullet] (NEWHP: 47.7)  (Cargo Bay (69, 119, 2))
[2018-09-09 22:00:41.536] ATTACK: AzlanonPc/(Jetra Norlan) has fired at [wall] with [weakened plasma blast] from Cargo Bay (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:41.538] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(Syndicate Operative) with [weakened plasma blast] (NEWHP: 93)  (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:41.592] ATTACK: AzlanonPc/(Jetra Norlan) has fired at [wall] with [weakened plasma blast] from Cargo Bay (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:41.594] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(Syndicate Operative) with [weakened plasma blast] (NEWHP: 86)  (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:41.688] ATTACK: GreenTea98/(Helps-The-Station) has fired at [conveyor belt] with [laser] from Cargo Bay (Cargo Bay (76, 115, 2))
[2018-09-09 22:00:42.091] ATTACK: GreenTea98/(Helps-The-Station) has fired at [conveyor belt] with [laser] from Cargo Bay (Cargo Bay (76, 115, 2))
[2018-09-09 22:00:42.446] ATTACK: GreenTea98/(Helps-The-Station) has shot *no key*/(Syndicate Operative) with [laser] (NEWHP: 80)  (Cargo Bay (76, 115, 2))
[2018-09-09 22:00:42.516] ATTACK: AzlanonPc/(Jetra Norlan) has fired at [�space] with [weakened plasma blast] from Cargo Bay (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:42.522] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(Syndicate Operative) with [weakened plasma blast] (NEWHP: 79)  (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:42.593] ATTACK: AzlanonPc/(Jetra Norlan) has fired at [�space] with [weakened plasma blast] from Cargo Bay (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:42.600] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(Syndicate Operative) with [weakened plasma blast] (NEWHP: 72)  (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:42.624] ATTACK: GreenTea98/(Helps-The-Station) has fired at *no key*/(Syndicate Operative) with [laser] from Cargo Bay (NEWHP: 80)  (Cargo Bay (76, 115, 2))
[2018-09-09 22:00:43.256] ATTACK: *no key*/(Syndicate Operative) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 79.7)  (Cargo Bay (69, 119, 2))
[2018-09-09 22:00:43.270] ATTACK: *no key*/(Syndicate Operative) has fired at Juicy_Chicken/(Mr Fluffles) with [10mm bullet] from Cargo Bay (NEWHP: 100)  (Cargo Bay (69, 115, 2))
[2018-09-09 22:00:43.705] ATTACK: AzlanonPc/(Jetra Norlan) has fired at [�space] with [weakened plasma blast] from Cargo Bay (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:43.707] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(Syndicate Operative) with [weakened plasma blast] (NEWHP: 65)  (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:43.766] ATTACK: AzlanonPc/(Jetra Norlan) has fired at [�space] with [weakened plasma blast] from Cargo Bay (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:43.768] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(Syndicate Operative) with [weakened plasma blast] (NEWHP: 58)  (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:44.779] ATTACK: AzlanonPc/(Jetra Norlan) has fired at [�space] with [weakened plasma blast] from Cargo Bay (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:44.785] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(Syndicate Operative) with [weakened plasma blast] (NEWHP: 51)  (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:44.867] ATTACK: AzlanonPc/(Jetra Norlan) has fired at [�space] with [weakened plasma blast] from Cargo Bay (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:44.873] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(Syndicate Operative) with [weakened plasma blast] (NEWHP: 44)  (Cargo Bay (69, 118, 2))
[2018-09-09 22:00:45.102] ATTACK: GreenTea98/(Helps-The-Station) has fired at [reinforced window] with [laser] from Cargo Bay (Cargo Bay (76, 115, 2))
[2018-09-09 22:00:45.324] ATTACK: *no key*/(Syndicate Operative) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 75.2)  (Cargo Bay (69, 119, 2))
