[2018-08-20 18:11:58.911] Starting up round ID 2020.
[2018-08-20 18:11:58.911] -------------------------
[2018-08-20 18:24:36.464] ATTACK: Red Axolotl/(Breaks-The-Bad) has disarmed Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (157, 129, 2))
[2018-08-20 18:24:39.501] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 121, 2))
[2018-08-20 18:24:39.769] ATTACK: Red Axolotl/(Breaks-The-Bad) has disarmed Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (153, 128, 2))
[2018-08-20 18:24:40.305] ATTACK: Davidththird/(Tyron Jamal) has disarmed Red Axolotl/(Breaks-The-Bad) (NEWHP: 100)  (Starboard Primary Hallway (154, 128, 2))
[2018-08-20 18:24:40.524] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 121, 2))
[2018-08-20 18:24:40.738] ATTACK: Red Axolotl/(Breaks-The-Bad) has disarmed Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (155, 128, 2))
[2018-08-20 18:24:41.158] ATTACK: Davidththird/(Tyron Jamal) has attempted to disarm Red Axolotl/(Breaks-The-Bad) (NEWHP: 100)  (Starboard Primary Hallway (155, 128, 2))
[2018-08-20 18:24:41.426] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 121, 2))
[2018-08-20 18:24:42.620] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 121, 2))
[2018-08-20 18:24:42.936] ATTACK: Davidththird/(Tyron Jamal) has attempted to disarm Red Axolotl/(Breaks-The-Bad) (NEWHP: 100)  (Starboard Primary Hallway (154, 128, 2))
[2018-08-20 18:24:43.588] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 121, 2))
[2018-08-20 18:24:44.565] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 121, 2))
[2018-08-20 18:24:45.575] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 121, 2))
[2018-08-20 18:24:46.497] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 121, 2))
[2018-08-20 18:24:47.161] ATTACK: Red Axolotl/(Breaks-The-Bad) has disarmed Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (151, 128, 2))
[2018-08-20 18:24:47.456] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 121, 2))
[2018-08-20 18:24:48.089] ATTACK: Davidththird/(Tyron Jamal) has attempted to disarm Red Axolotl/(Breaks-The-Bad) (NEWHP: 100)  (Starboard Primary Hallway (150, 128, 2))
[2018-08-20 18:24:48.422] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 121, 2))
[2018-08-20 18:24:49.344] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 121, 2))
[2018-08-20 18:24:49.517] ATTACK: Red Axolotl/(Breaks-The-Bad) has attempted to disarm Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (156, 128, 2))
[2018-08-20 18:24:51.171] ATTACK: Red Axolotl/(Breaks-The-Bad) has attempted to disarm Davidththird/(Tyron Jamal) (NEWHP: 100)  (Starboard Primary Hallway (163, 128, 2))
[2018-08-20 18:24:51.768] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 122, 2))
[2018-08-20 18:24:51.810] ATTACK: Davidththird/(Tyron Jamal) has pushed over Red Axolotl/(Breaks-The-Bad) (NEWHP: 100)  (Starboard Primary Hallway (161, 128, 2))
[2018-08-20 18:24:52.673] ATTACK: Davidththird/(Tyron Jamal) has disarmed Red Axolotl/(Breaks-The-Bad) (NEWHP: 100)  (Starboard Primary Hallway (161, 128, 2))
[2018-08-20 18:24:52.774] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 122, 2))
[2018-08-20 18:24:53.762] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 122, 2))
[2018-08-20 18:24:53.937] ATTACK: Davidththird/(Tyron Jamal) has punched Red Axolotl/(Breaks-The-Bad) (NEWHP: 94)  (Starboard Primary Hallway (161, 128, 2))
[2018-08-20 18:24:54.600] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 122, 2))
[2018-08-20 18:24:55.637] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 122, 2))
[2018-08-20 18:24:56.493] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 123, 2))
[2018-08-20 18:24:57.619] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 123, 2))
[2018-08-20 18:24:58.627] ATTACK: pandolphina/(G.U.A.R.D.I.A.N.) has attacked [foamed metal] with [integrated welding tool] (Chemistry (133, 123, 2))
[2018-08-20 18:25:16.152] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [pocket crowbar] (Chemistry (133, 123, 2))
[2018-08-20 18:25:16.975] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [pocket crowbar] (Chemistry (133, 123, 2))
[2018-08-20 18:25:17.953] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [pocket crowbar] (Chemistry (133, 123, 2))
[2018-08-20 18:25:18.916] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [pocket crowbar] (Chemistry (133, 123, 2))
[2018-08-20 18:25:19.734] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [pocket crowbar] (Chemistry (133, 123, 2))
[2018-08-20 18:25:20.867] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [pocket crowbar] (Chemistry (133, 123, 2))
[2018-08-20 18:25:21.825] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [pocket crowbar] (Chemistry (133, 123, 2))
[2018-08-20 18:25:21.898] ATTACK: Davidththird/(Tyron Jamal) has thrown the stool (Starboard Primary Hallway (155, 130, 2))
[2018-08-20 18:25:22.725] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [pocket crowbar] (Chemistry (133, 123, 2))
[2018-08-20 18:25:23.351] ATTACK: CoolCatIsFeelingGroovy/(Moff) has thrown the pen (Primary Tool Storage (75, 146, 2))
[2018-08-20 18:25:23.662] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [pocket crowbar] (Chemistry (133, 123, 2))
[2018-08-20 18:25:24.625] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [pocket crowbar] (Chemistry (133, 123, 2))
[2018-08-20 18:25:24.768] ATTACK: Davidththird/(Tyron Jamal) has thrown the stool (Starboard Primary Hallway (157, 130, 2))
[2018-08-20 18:25:24.781] ATTACK: Davidththird/(Tyron Jamal) has threw and hit Red Axolotl/(Breaks-The-Bad) with [stool] (NEWHP: 84)  (Starboard Primary Hallway (157, 130, 2))
[2018-08-20 18:25:25.511] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [pocket crowbar] (Chemistry (133, 123, 2))
[2018-08-20 18:25:26.398] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [pocket crowbar] (Chemistry (133, 123, 2))
[2018-08-20 18:25:27.341] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [pocket crowbar] (Chemistry (133, 123, 2))
[2018-08-20 18:25:28.242] ATTACK: David Blanc/(Osborn Hice) has attacked [foamed metal] with [pocket crowbar] (Chemistry (133, 123, 2))
[2018-08-20 18:25:29.030] ATTACK: Bilary/(Lara Black) has fed Bilary/(Lara Black) with watermelonjuice (31u)[DC] (NEWHP: 100)  (Fitness Room (133, 153, 2))
