[2018-08-27 19:13:21.801] Starting up round ID 2101.
[2018-08-27 19:13:21.801] -------------------------
[2018-08-27 19:44:30.001] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (74, 45, 5))
[2018-08-27 19:44:30.051] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (74, 45, 5))
[2018-08-27 19:44:39.980] ATTACK: Smarrazzo/(Wesley Snipes) has grabbed Manmail/(Jingle) passive grab (NEWHP: 100)  (Starboard Primary Hallway (168, 129, 2))
[2018-08-27 19:44:40.059] ATTACK: AstronautCat/(Delia Eld) has thrown the distinguished conduct medal (Lavaland Wastes (73, 42, 5))
[2018-08-27 19:44:41.117] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (67, 53, 5))
[2018-08-27 19:44:41.187] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (67, 53, 5))
[2018-08-27 19:44:43.550] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (66, 55, 5))
[2018-08-27 19:44:43.641] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (66, 55, 5))
[2018-08-27 19:44:51.480] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (67, 58, 5))
[2018-08-27 19:44:53.009] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (69, 55, 5))
[2018-08-27 19:44:53.711] ATTACK: Manmail/(Jingle) has thrown the guitar (Research Division (179, 116, 2))
[2018-08-27 19:44:57.520] ATTACK: Bilary/(Lara Black) has fired at [rock] with [plasma blast] from Lavaland Wastes (Lavaland Wastes (69, 54, 5))
[2018-08-27 19:45:00.270] ATTACK: Bilary/(Lara Black) has attacked *no key*/(legion) with sonic jackhammer[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 60)  (Lavaland Wastes (70, 58, 5))
