[2018-09-04 17:45:01.465] Starting up round ID 2174.
[2018-09-04 17:45:01.465] -------------------------
[2018-09-04 17:58:27.631] ATTACK: X1pr0/(Connor Brooks) has grabbed *no key*/(Bubbles VII) passive grab (NEWHP: 100)  (Bar (141, 133, 2))
[2018-09-04 17:58:41.222] ATTACK: X1pr0/(Connor Brooks) has handcuffed *no key*/(Bubbles VII) (NEWHP: 100)  (Bar (140, 134, 2))
[2018-09-04 17:58:45.104] ATTACK: X1pr0/(Connor Brooks) has grabbed *no key*/(Bubbles VII) passive grab (NEWHP: 100)  (Bar (140, 134, 2))
[2018-09-04 17:58:48.866] ATTACK: X1pr0/(Connor Brooks) has grabbed *no key*/(Bubbles VII) passive grab (NEWHP: 100)  (Bar (140, 134, 2))
[2018-09-04 17:59:27.926] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: 93.3)  (Port Primary Hallway (83, 144, 2))
[2018-09-04 17:59:29.123] ATTACK: X1pr0/(Connor Brooks) has placed *no key*/(Bubbles VII) (NEWHP: 100)  (Robotics Lab (166, 118, 2))
[2018-09-04 17:59:38.475] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: 49.5)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:39.031] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: 38.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:39.474] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: 32.6)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:41.471] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: 22.5)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:41.970] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: 16.2)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:42.495] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: 7.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:43.971] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -1.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:44.971] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -11.5)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:45.473] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -17.7)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:46.471] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -26.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:46.979] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -39.5)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:47.476] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -46.1)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:47.973] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -52.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:49.063] ATTACK: X1pr0/(Connor Brooks) has operated on *no key*/(Bubbles VII) (OPERATION TYPE: amputation) (TARGET AREA: r_arm) (NEWHP: 100)  (Robotics Lab (167, 119, 2))
[2018-09-04 17:59:49.479] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -62.2)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:49.975] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -71.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:50.474] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -77.6)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:51.014] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -88.3)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:51.972] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -98.7)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:52.979] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -107.7)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:53.477] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -114.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:53.978] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -121.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:54.483] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -131.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:55.486] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -139.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:55.982] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -149.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:56.477] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -159.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:56.974] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -167.7)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:57.485] ATTACK: [grille] has electrocuted Bilary/(Lara Black) (NEWHP: -175.6)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:57.975] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -183.5)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:58.482] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -191.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:59.022] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -200.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:59.476] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -209.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 17:59:59.975] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -218.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:00.994] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -230.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:01.535] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -240.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:02.088] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -251.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:03.048] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -262.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:03.590] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -273.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:05.090] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -285.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:06.090] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -295.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:06.696] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -304.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:07.584] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -312.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:08.832] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -324.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:09.170] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -332.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:10.830] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -340.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:11.205] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -349.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:12.174] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -357.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:13.223] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -366.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:13.722] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -374.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:14.269] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -386.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:15.222] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -398.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:16.217] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -409.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:17.225] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -418.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:18.227] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -425.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:19.225] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -437.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:19.758] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -447.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:20.768] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -455.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:21.219] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -464.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:21.722] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -475.4)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:22.726] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -480.5)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:23.226] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -485.9)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:23.727] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
[2018-09-04 18:00:24.755] ATTACK: [grille] has electrocuted *no key*/(Lara Black) (NEWHP: -494.8)  (Port Primary Hallway (81, 143, 2))
