[2018-09-08 00:47:31.959] Starting up round ID 2204.
[2018-09-08 00:47:31.959] -------------------------
[2018-09-08 00:58:30.251] ATTACK: Angryman666/(Avery Seelig) has attacked *no key*/(Lara Black) with circular saw[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: -165)  (Robotics Lab (111, 81, 2))
[2018-09-08 00:58:37.559] ATTACK: Bobcat49/(Rose White) has stripped the top-hat off *no key*/(Grodd V) (NEWHP: 100)  (Bar (132, 130, 2))
[2018-09-08 00:58:55.560] ATTACK: Bobcat49/(Rose White) has grabbed *no key*/(Grodd V) passive grab (NEWHP: 100)  (Bar (131, 130, 2))
[2018-09-08 01:00:50.769] ATTACK: Angryman666/(Avery Seelig) has fired at [floor] with [bolt] from Robotics Lab (Robotics Lab (117, 81, 2))
[2018-09-08 01:00:50.850] ATTACK: Angryman666/(Avery Seelig) has shot APersonsName222/(Pavlo Asterton) with [bolt] (NEWHP: 92)  (Robotics Lab (117, 81, 2))
[2018-09-08 01:00:56.515] ATTACK: Angryman666/(Avery Seelig) has attacked APersonsName222/(Pavlo Asterton) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 77)  (Robotics Lab (118, 81, 2))
[2018-09-08 01:00:57.366] ATTACK: Angryman666/(Avery Seelig) has attacked APersonsName222/(Pavlo Asterton) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 62)  (Robotics Lab (118, 81, 2))
[2018-09-08 01:00:58.216] ATTACK: Angryman666/(Avery Seelig) has attacked APersonsName222/(Pavlo Asterton) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 47)  (Robotics Lab (118, 81, 2))
[2018-09-08 01:00:58.931] ATTACK: Angryman666/(Avery Seelig) has attacked APersonsName222/(Pavlo Asterton) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 32)  (Robotics Lab (118, 81, 2))
[2018-09-08 01:00:59.542] ATTACK: Angryman666/(Avery Seelig) has attacked APersonsName222/(Pavlo Asterton) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 17)  (Robotics Lab (118, 81, 2))
[2018-09-08 01:01:00.735] ATTACK: Angryman666/(Avery Seelig) has attacked APersonsName222/(Pavlo Asterton) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 2)  (Robotics Lab (118, 81, 2))
