[2018-08-19 16:01:34.135] Starting up round ID 2002.
[2018-08-19 16:01:34.136] -------------------------
[2018-08-19 16:23:33.088] ATTACK: Ceanox/(Berna Mandys P.I) has stunned ChippedIce/(Hana Robusto) (NEWHP: 100)  (Fore Primary Hallway (112, 155, 2))
[2018-08-19 16:23:37.749] ATTACK: Bilary/(Lara Black) has thrown the �Codex Gigas (Fore Primary Hallway (114, 159, 2))
[2018-08-19 16:23:49.281] ATTACK: Ceanox/(Berna Mandys P.I) has stunned ChippedIce/(Hana Robusto) (NEWHP: 100)  (Fore Primary Hallway (113, 160, 2))
[2018-08-19 16:23:50.434] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Infernal Jaunt.</span> (Fore Primary Hallway (113, 160, 2))
[2018-08-19 16:23:53.990] ATTACK: Ceanox/(Berna Mandys P.I) has stunned ChippedIce/(Hana Robusto) with [police baton] (NEWHP: 100)  (Fore Primary Hallway (112, 161, 2))
[2018-08-19 16:23:58.966] ATTACK: Ceanox/(Berna Mandys P.I) has stunned ChippedIce/(Hana Robusto) with [police baton] (NEWHP: 100)  (Fore Primary Hallway (112, 161, 2))
[2018-08-19 16:24:03.727] ATTACK: Ceanox/(Berna Mandys P.I) has stunned ChippedIce/(Hana Robusto) with [police baton] (NEWHP: 100)  (Fore Primary Hallway (112, 161, 2))
[2018-08-19 16:24:05.961] ATTACK: Bilary/(Lara Black) has attacked ChippedIce/(Hana Robusto) with curator's whip[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 91)  (Fore Primary Hallway (114, 160, 2))
[2018-08-19 16:24:08.567] ATTACK: Ceanox/(Berna Mandys P.I) has stunned ChippedIce/(Hana Robusto) with [police baton] (NEWHP: 91)  (Fore Primary Hallway (112, 161, 2))
[2018-08-19 16:24:16.894] ATTACK: Ceanox/(Berna Mandys P.I) has stunned ChippedIce/(Hana Robusto) with [police baton] (NEWHP: 91)  (Fore Primary Hallway (112, 161, 2))
[2018-08-19 16:24:21.194] ATTACK: Ceanox/(Berna Mandys P.I) has stunned ChippedIce/(Hana Robusto) with [police baton] (NEWHP: 91)  (Fore Primary Hallway (112, 161, 2))
[2018-08-19 16:24:21.538] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Hellfire.</span> (Fore Primary Hallway (113, 161, 2))
[2018-08-19 16:24:21.539] ATTACK: ChippedIce/(Hana Robusto) has fired at [floor] with [infernal fireball] from Fore Primary Hallway (Fore Primary Hallway (113, 161, 2))
