[2018-09-10 00:50:25.531] Starting up round ID 2233.
[2018-09-10 00:50:25.532] -------------------------
[2018-09-10 01:10:45.257] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 100)  (Lavaland Wastes (112, 41, 5))
[2018-09-10 01:10:45.707] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 105)  (Lavaland Wastes (111, 42, 5))
[2018-09-10 01:10:46.525] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 90)  (Lavaland Wastes (111, 42, 5))
[2018-09-10 01:10:47.438] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 92.1)  (Lavaland Wastes (112, 41, 5))
[2018-09-10 01:10:47.957] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 75)  (Lavaland Wastes (112, 42, 5))
[2018-09-10 01:10:48.898] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 60)  (Lavaland Wastes (112, 42, 5))
[2018-09-10 01:10:49.646] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 84.2)  (Lavaland Wastes (112, 41, 5))
[2018-09-10 01:10:49.777] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 20)  (Lavaland Wastes (112, 42, 5))
[2018-09-10 01:10:49.857] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (112, 42, 5))
[2018-09-10 01:10:59.979] ATTACK: Goodie_boy/(Dan Ox) has attacked [girder] with [screwdriver] (Fore Maintenance (135, 175, 2))
[2018-09-10 01:11:10.573] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 260)  (Lavaland Wastes (118, 35, 5))
[2018-09-10 01:11:16.280] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 220)  (Lavaland Wastes (118, 37, 5))
[2018-09-10 01:11:16.382] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 180)  (Lavaland Wastes (117, 37, 5))
[2018-09-10 01:11:19.851] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 140)  (Lavaland Wastes (116, 38, 5))
[2018-09-10 01:11:19.958] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 100)  (Lavaland Wastes (116, 38, 5))
[2018-09-10 01:11:24.230] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 60)  (Lavaland Wastes (115, 39, 5))
[2018-09-10 01:11:24.333] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 20)  (Lavaland Wastes (115, 39, 5))
[2018-09-10 01:11:27.789] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (114, 39, 5))
[2018-09-10 01:11:27.882] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(goliath) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (114, 39, 5))
[2018-09-10 01:12:57.011] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: -118.5)  (Genetics Lab (153, 114, 2))
[2018-09-10 01:12:58.411] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: -125.5)  (Genetics Lab (153, 114, 2))
[2018-09-10 01:13:05.798] ATTACK: Swindel_/(Tul-Ullis) has thrown the optical meson scanner (Port Bow Maintenance (69, 158, 2))
[2018-09-10 01:13:10.167] ATTACK: GarfielfSpecies/(John Smith) has grabbed *no key*/(monkey (706)) passive grab (NEWHP: -125.5)  (Genetics Lab (153, 114, 2))
[2018-09-10 01:13:27.117] ATTACK: BuckyBoy/(Beau Richards) has thrown the tank transfer valve (Toxins Mixing Lab (198, 105, 2))
[2018-09-10 01:13:54.321] ATTACK: GarfielfSpecies/(John Smith) has attacked *no key*/(monkey (706)) (NEWHP: -130.7)  (Genetics Lab (158, 116, 2))
[2018-09-10 01:13:57.142] ATTACK: GarfielfSpecies/(John Smith) has grabbed *no key*/(monkey (706)) passive grab (NEWHP: -130.7)  (Genetics Lab (158, 116, 2))
[2018-09-10 01:14:15.896] ATTACK: *no key*/(monkey (706)) has pulled from GarfielfSpecies/(John Smith) with Goodie_boy/(Dan Ox) (NEWHP: 84)  (Kitchen (149, 133, 2))
[2018-09-10 01:14:15.897] ATTACK: Goodie_boy/(Dan Ox) has grabbed *no key*/(monkey (706)) passive grab (NEWHP: -130.7)  (Kitchen (148, 133, 2))
[2018-09-10 01:14:39.694] ATTACK: Bigboymcman/(Alpha Chad) has attacked Bigboymcman/(Alpha Chad) with flashlight[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Starboard Bow Maintenance (178, 150, 2))
[2018-09-10 01:14:41.454] ATTACK: Bigboymcman/(Alpha Chad) has attacked Bigboymcman/(Alpha Chad) with flashlight[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Starboard Bow Maintenance (178, 150, 2))
[2018-09-10 01:14:42.296] ATTACK: Bigboymcman/(Alpha Chad) has attacked Bigboymcman/(Alpha Chad) with flashlight[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Starboard Bow Maintenance (178, 150, 2))
[2018-09-10 01:16:10.494] ATTACK: CthulhuOnIce/(Declan Judge) has thrown the sunglasses (Engineering (116, 72, 2))
[2018-09-10 01:16:41.498] ATTACK: Swindel_/(Tul-Ullis) has thrown the mechanical toolbox (Cargo Bay (82, 122, 2))
[2018-09-10 01:17:05.723] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 185)  (Lavaland Wastes (135, 39, 5))
[2018-09-10 01:17:06.102] ATTACK: *no key*/(watcher) has fired at AzlanonPc/(Jetra Norlan) with [freezing blast] from Lavaland Wastes (NEWHP: 76.4)  (Lavaland Wastes (135, 38, 5))
[2018-09-10 01:17:06.185] ATTACK: *no key*/(watcher) has shot AzlanonPc/(Jetra Norlan) with [freezing blast] (NEWHP: 76.4)  (Lavaland Wastes (135, 38, 5))
[2018-09-10 01:17:07.590] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 170)  (Lavaland Wastes (135, 39, 5))
[2018-09-10 01:17:08.246] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 74.9)  (Lavaland Wastes (135, 38, 5))
[2018-09-10 01:17:08.632] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 155)  (Lavaland Wastes (135, 39, 5))
[2018-09-10 01:17:09.539] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 115)  (Lavaland Wastes (135, 39, 5))
[2018-09-10 01:17:09.602] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 75)  (Lavaland Wastes (135, 39, 5))
[2018-09-10 01:17:10.380] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 62.9)  (Lavaland Wastes (135, 38, 5))
[2018-09-10 01:17:10.867] ATTACK: GarfielfSpecies/(John Smith) has attacked [fire alarm] with [space violin] (Bar (135, 132, 2))
[2018-09-10 01:17:11.111] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 60)  (Lavaland Wastes (135, 39, 5))
[2018-09-10 01:17:12.123] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(watcher) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 45)  (Lavaland Wastes (135, 39, 5))
[2018-09-10 01:17:12.696] ATTACK: *no key*/(watcher) has attacked AzlanonPc/(Jetra Norlan) (NEWHP: 53.5)  (Lavaland Wastes (135, 38, 5))
[2018-09-10 01:17:13.133] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 5)  (Lavaland Wastes (135, 39, 5))
[2018-09-10 01:17:13.192] ATTACK: AzlanonPc/(Jetra Norlan) has shot *no key*/(watcher) with [kinetic force] (NEWHP: 0)  (Lavaland Wastes (135, 39, 5))
[2018-09-10 01:17:29.961] ATTACK: AzlanonPc/(Jetra Norlan) has attempted to inject AzlanonPc/(Jetra Norlan) with [survival medipen] (Salbutamol, Leporazine, Tricordrazine, Epinephrine, Lavaland Extract and Omnizine) (NEWHP: 40)  (Lavaland Wastes (135, 39, 5))
[2018-09-10 01:17:29.964] ATTACK: AzlanonPc/(Jetra Norlan) has injected AzlanonPc/(Jetra Norlan) with [survival medipen] (Salbutamol, Leporazine, Tricordrazine, Epinephrine, Lavaland Extract and Omnizine) (NEWHP: 40)  (Lavaland Wastes (135, 39, 5))
[2018-09-10 01:17:40.107] ATTACK: Goodie_boy/(Dan Ox) has thrown the italian moustache (Space (31, 133, 2))
[2018-09-10 01:17:49.493] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(goldgrub) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 30)  (Lavaland Wastes (141, 32, 5))
[2018-09-10 01:17:50.371] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(goldgrub) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 15)  (Lavaland Wastes (141, 32, 5))
[2018-09-10 01:17:51.233] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(goldgrub) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 0)  (Lavaland Wastes (141, 32, 5))
[2018-09-10 01:18:23.185] ATTACK: Bigboymcman/(Alpha Chad) has grabbed Wumbowigis/(William Oranje) passive grab (NEWHP: 100)  (Theatre (135, 141, 2))
[2018-09-10 01:18:24.391] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:25.389] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:26.415] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:27.326] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:28.259] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:29.132] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:29.991] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:30.805] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:31.617] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:32.443] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:33.419] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:34.271] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:35.221] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:36.142] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:36.452] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(goldgrub) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 30)  (Lavaland Wastes (157, 41, 5))
[2018-09-10 01:18:37.086] ATTACK: Goodie_boy/(Dan Ox) has attacked [reinforced window] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:37.089] ATTACK: Wumbowigis/(William Oranje) has attacked Wumbowigis/(William Oranje) with electric guitar[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 91.6)  (Theatre (135, 141, 2))
[2018-09-10 01:18:37.324] ATTACK: AzlanonPc/(Jetra Norlan) has attacked *no key*/(goldgrub) with survival knife[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 15)  (Lavaland Wastes (157, 41, 5))
[2018-09-10 01:18:38.012] ATTACK: Goodie_boy/(Dan Ox) has attacked [grille] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:38.851] ATTACK: Goodie_boy/(Dan Ox) has attacked [grille] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:39.722] ATTACK: Goodie_boy/(Dan Ox) has attacked [grille] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:40.683] ATTACK: Goodie_boy/(Dan Ox) has attacked [grille] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:41.574] ATTACK: Goodie_boy/(Dan Ox) has attacked [grille] with [sharpened kitchen knife] (Space (89, 176, 2))
[2018-09-10 01:18:44.045] ATTACK: Wumbowigis/(William Oranje) has thrown the electric guitar (Theatre (133, 141, 2))
[2018-09-10 01:18:44.201] ATTACK: Wumbowigis/(William Oranje) has threw and hit Bigboymcman/(Alpha Chad) with [electric guitar] (NEWHP: 100)  (Theatre (133, 141, 2))
