[2018-08-31 00:33:13.222] Starting up round ID 2134.
[2018-08-31 00:33:13.222] -------------------------
[2018-08-31 00:40:14.579] ATTACK: SaltyScabbard/(Slippy Joe) has slipped on the [floor] (Starboard Primary Hallway (136, 130, 2))
[2018-08-31 00:40:18.301] ATTACK: ChippedIce/(Hana Robusto) has attacked [window] with [fire extinguisher] (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:19.199] ATTACK: ChippedIce/(Hana Robusto) has attacked [window] with [fire extinguisher] (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:20.062] ATTACK: ChippedIce/(Hana Robusto) has attacked [window] with [fire extinguisher] (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:20.150] ATTACK: Shoeater/(Scotty Lord) has grabbed *no key*/(Terk XXXVI) passive grab (NEWHP: 92.5)  (Bar (136, 132, 2))
[2018-08-31 00:40:20.153] ATTACK: *no key*/(Terk XXXVI) has tackled Shoeater/(Scotty Lord) (NEWHP: 100)  (Bar (137, 132, 2))
[2018-08-31 00:40:21.063] ATTACK: ChippedIce/(Hana Robusto) has attacked [window] with [fire extinguisher] (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:21.092] ATTACK: Jaedo/(Amiyah McDonald) has grabbed *no key*/(Terk XXXVI) passive grab (NEWHP: 92.5)  (Bar (138, 132, 2))
[2018-08-31 00:40:21.095] ATTACK: *no key*/(Terk XXXVI) has tackled Jaedo/(Amiyah McDonald) (NEWHP: 79.1)  (Bar (137, 132, 2))
[2018-08-31 00:40:22.026] ATTACK: ChippedIce/(Hana Robusto) has attacked [window] with [fire extinguisher] (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:23.034] ATTACK: ChippedIce/(Hana Robusto) has attacked [grille] with [fire extinguisher] (Starboard Primary Hallway (137, 130, 2))
[2018-08-31 00:40:23.901] ATTACK: ChippedIce/(Hana Robusto) has attacked [grille] with [fire extinguisher] (Starboard Primary Hallway (137, 130, 2))
